Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
122,12/03/20,Andhra Pradesh,0,0,1,0.0,0.0
135,13/03/20,Andhra Pradesh,0,0,1,0.0,0.0
148,14/03/20,Andhra Pradesh,0,0,1,0.0,0.0
149,15/03/20,Andhra Pradesh,0,0,1,0.0,0.0
163,16/03/20,Andhra Pradesh,0,0,1,0.0,0.0
178,17/03/20,Andhra Pradesh,0,0,1,0.0,0.0
193,18/03/20,Andhra Pradesh,0,0,1,0.0,0.0
210,19/03/20,Andhra Pradesh,0,0,2,0.0,0.0
229,20/03/20,Andhra Pradesh,0,0,3,0.0,0.0
249,21/03/20,Andhra Pradesh,0,0,3,0.0,0.0
271,22/03/20,Andhra Pradesh,0,0,5,0.0,0.0
294,23/03/20,Andhra Pradesh,0,0,7,0.0,0.0
317,24/03/20,Andhra Pradesh,0,0,8,0.0,0.0
341,25/03/20,Andhra Pradesh,1,0,9,0.0,0.1111111111111111
367,26/03/20,Andhra Pradesh,1,0,11,0.0,0.09090909090909091
394,27/03/20,Andhra Pradesh,1,0,12,0.0,0.08333333333333333
420,28/03/20,Andhra Pradesh,1,0,14,0.0,0.07142857142857142
447,29/03/20,Andhra Pradesh,1,0,19,0.0,0.05263157894736842
474,30/03/20,Andhra Pradesh,1,0,23,0.0,0.043478260869565216
502,31/03/20,Andhra Pradesh,1,0,40,0.0,0.025
530,01/04/20,Andhra Pradesh,1,0,83,0.0,0.012048192771084338
559,02/04/20,Andhra Pradesh,1,1,86,0.011627906976744186,0.011627906976744186
588,03/04/20,Andhra Pradesh,1,1,132,0.007575757575757576,0.007575757575757576
619,04/04/20,Andhra Pradesh,1,1,161,0.006211180124223602,0.006211180124223602
649,05/04/20,Andhra Pradesh,1,1,190,0.005263157894736842,0.005263157894736842
679,06/04/20,Andhra Pradesh,1,3,226,0.01327433628318584,0.004424778761061947
709,07/04/20,Andhra Pradesh,1,3,266,0.011278195488721804,0.0037593984962406013
740,08/04/20,Andhra Pradesh,5,4,305,0.013114754098360656,0.01639344262295082
771,09/04/20,Andhra Pradesh,6,4,348,0.011494252873563218,0.017241379310344827
802,10/04/20,Andhra Pradesh,7,6,363,0.01652892561983471,0.01928374655647383
833,11/04/20,Andhra Pradesh,11,6,381,0.015748031496062992,0.028871391076115485
864,12/04/20,Andhra Pradesh,11,6,381,0.015748031496062992,0.028871391076115485
895,13/04/20,Andhra Pradesh,11,7,432,0.016203703703703703,0.02546296296296296
927,14/04/20,Andhra Pradesh,14,9,473,0.019027484143763214,0.02959830866807611
961,15/04/20,Andhra Pradesh,16,9,503,0.017892644135188866,0.03180914512922465
994,16/04/20,Andhra Pradesh,20,14,534,0.026217228464419477,0.03745318352059925
1027,17/04/20,Andhra Pradesh,36,14,572,0.024475524475524476,0.06293706293706294
1060,18/04/20,Andhra Pradesh,42,15,603,0.024875621890547265,0.06965174129353234
1093,19/04/20,Andhra Pradesh,42,15,603,0.024875621890547265,0.06965174129353234
1126,20/04/20,Andhra Pradesh,92,20,722,0.027700831024930747,0.12742382271468145
1159,21/04/20,Andhra Pradesh,96,22,757,0.02906208718626156,0.12681638044914134
1192,22/04/20,Andhra Pradesh,120,24,813,0.02952029520295203,0.14760147601476015
1224,23/04/20,Andhra Pradesh,141,27,895,0.030167597765363128,0.15754189944134078
