Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
590,03/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
621,04/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
651,05/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
681,06/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
711,07/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
742,08/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
773,09/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
804,10/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
835,11/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
866,12/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
897,13/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
929,14/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
962,15/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
995,16/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
1028,17/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
1061,18/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
1094,19/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
1127,20/04/20,Arunachal Pradesh,0,0,1,0.0,0.0
1160,21/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1193,22/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1225,23/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1257,24/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1289,25/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1321,26/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1353,27/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1385,28/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1417,29/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1449,30/04/20,Arunachal Pradesh,1,0,1,0.0,1.0
1481,01/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1513,02/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1545,03/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1577,04/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1609,05/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1641,06/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1674,07/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1707,08/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1740,09/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1773,10/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1806,11/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1839,12/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1872,13/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1905,14/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1938,15/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
1971,16/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2004,17/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2037,18/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2070,19/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2103,20/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2137,21/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2171,22/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2205,23/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2239,24/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2274,25/05/20,Arunachal Pradesh,1,0,1,0.0,1.0
2309,26/05/20,Arunachal Pradesh,1,0,2,0.0,0.5
2345,27/05/20,Arunachal Pradesh,1,0,2,0.0,0.5
2381,28/05/20,Arunachal Pradesh,1,0,2,0.0,0.5
2417,29/05/20,Arunachal Pradesh,1,0,3,0.0,0.3333333333333333
2453,30/05/20,Arunachal Pradesh,1,0,3,0.0,0.3333333333333333
2489,31/05/20,Arunachal Pradesh,1,0,4,0.0,0.25
2525,01/06/20,Arunachal Pradesh,1,0,4,0.0,0.25
2561,02/06/20,Arunachal Pradesh,1,0,22,0.0,0.045454545454545456
2597,03/06/20,Arunachal Pradesh,1,0,22,0.0,0.045454545454545456
2633,04/06/20,Arunachal Pradesh,1,0,38,0.0,0.02631578947368421
2669,05/06/20,Arunachal Pradesh,1,0,42,0.0,0.023809523809523808
