Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
532,01/04/20,Assam,0,0,1,0.0,0.0
561,02/04/20,Assam,0,0,5,0.0,0.0
591,03/04/20,Assam,0,0,16,0.0,0.0
622,04/04/20,Assam,0,0,24,0.0,0.0
652,05/04/20,Assam,0,0,26,0.0,0.0
682,06/04/20,Assam,0,0,26,0.0,0.0
712,07/04/20,Assam,0,0,26,0.0,0.0
743,08/04/20,Assam,0,0,27,0.0,0.0
774,09/04/20,Assam,0,0,28,0.0,0.0
805,10/04/20,Assam,0,0,29,0.0,0.0
836,11/04/20,Assam,0,1,29,0.034482758620689655,0.0
867,12/04/20,Assam,0,1,29,0.034482758620689655,0.0
898,13/04/20,Assam,0,1,31,0.03225806451612903,0.0
930,14/04/20,Assam,0,1,31,0.03225806451612903,0.0
963,15/04/20,Assam,0,1,33,0.030303030303030304,0.0
996,16/04/20,Assam,5,1,33,0.030303030303030304,0.15151515151515152
1029,17/04/20,Assam,5,1,35,0.02857142857142857,0.14285714285714285
1062,18/04/20,Assam,9,1,35,0.02857142857142857,0.2571428571428571
1095,19/04/20,Assam,12,1,35,0.02857142857142857,0.34285714285714286
1128,20/04/20,Assam,17,1,35,0.02857142857142857,0.4857142857142857
1161,21/04/20,Assam,19,1,35,0.02857142857142857,0.5428571428571428
1194,22/04/20,Assam,19,1,35,0.02857142857142857,0.5428571428571428
1226,23/04/20,Assam,19,1,35,0.02857142857142857,0.5428571428571428
1258,24/04/20,Assam,19,1,36,0.027777777777777776,0.5277777777777778
1290,25/04/20,Assam,19,1,36,0.027777777777777776,0.5277777777777778
1322,26/04/20,Assam,19,1,36,0.027777777777777776,0.5277777777777778
1354,27/04/20,Assam,27,1,36,0.027777777777777776,0.75
1386,28/04/20,Assam,27,1,38,0.02631578947368421,0.7105263157894737
1418,29/04/20,Assam,27,1,38,0.02631578947368421,0.7105263157894737
1450,30/04/20,Assam,29,1,42,0.023809523809523808,0.6904761904761905
1482,01/05/20,Assam,29,1,42,0.023809523809523808,0.6904761904761905
1514,02/05/20,Assam,32,1,43,0.023255813953488372,0.7441860465116279
1546,03/05/20,Assam,32,1,43,0.023255813953488372,0.7441860465116279
1578,04/05/20,Assam,32,1,43,0.023255813953488372,0.7441860465116279
1610,05/05/20,Assam,32,1,43,0.023255813953488372,0.7441860465116279
1642,06/05/20,Assam,32,1,43,0.023255813953488372,0.7441860465116279
1675,07/05/20,Assam,32,1,45,0.022222222222222223,0.7111111111111111
1708,08/05/20,Assam,34,1,54,0.018518518518518517,0.6296296296296297
1741,09/05/20,Assam,34,1,59,0.01694915254237288,0.576271186440678
1774,10/05/20,Assam,34,2,63,0.031746031746031744,0.5396825396825397
1807,11/05/20,Assam,34,2,63,0.031746031746031744,0.5396825396825397
1840,12/05/20,Assam,34,2,65,0.03076923076923077,0.5230769230769231
1873,13/05/20,Assam,39,2,65,0.03076923076923077,0.6
1906,14/05/20,Assam,39,2,80,0.025,0.4875
1939,15/05/20,Assam,39,2,87,0.022988505747126436,0.4482758620689655
1972,16/05/20,Assam,41,2,90,0.022222222222222223,0.45555555555555555
2005,17/05/20,Assam,41,2,92,0.021739130434782608,0.44565217391304346
2038,18/05/20,Assam,41,2,101,0.019801980198019802,0.40594059405940597
2071,19/05/20,Assam,41,2,107,0.018691588785046728,0.38317757009345793
2104,20/05/20,Assam,41,4,142,0.028169014084507043,0.2887323943661972
2138,21/05/20,Assam,48,4,170,0.023529411764705882,0.2823529411764706
2172,22/05/20,Assam,54,4,203,0.019704433497536946,0.2660098522167488
2206,23/05/20,Assam,54,4,259,0.015444015444015444,0.2084942084942085
2240,24/05/20,Assam,55,4,329,0.0121580547112462,0.16717325227963525
2275,25/05/20,Assam,55,4,378,0.010582010582010581,0.1455026455026455
2310,26/05/20,Assam,62,4,526,0.0076045627376425855,0.11787072243346007
2346,27/05/20,Assam,62,4,616,0.006493506493506494,0.10064935064935066
2382,28/05/20,Assam,87,4,781,0.005121638924455826,0.11139564660691421
2418,29/05/20,Assam,104,4,856,0.004672897196261682,0.12149532710280374
2454,30/05/20,Assam,125,4,1024,0.00390625,0.1220703125
2490,31/05/20,Assam,163,4,1185,0.0033755274261603376,0.13755274261603376
2526,01/06/20,Assam,185,4,1272,0.0031446540880503146,0.14544025157232704
2562,02/06/20,Assam,277,4,1390,0.0028776978417266188,0.19928057553956835
2598,03/06/20,Assam,324,4,1513,0.0026437541308658294,0.21414408460013218
2634,04/06/20,Assam,413,4,1672,0.0023923444976076554,0.24700956937799043
2670,05/06/20,Assam,442,4,1988,0.002012072434607646,0.22233400402414488
