Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
272,22/03/20,Bihar,0,1,2,0.5,0.0
295,23/03/20,Bihar,0,1,2,0.5,0.0
318,24/03/20,Bihar,0,1,3,0.3333333333333333,0.0
342,25/03/20,Bihar,0,1,4,0.25,0.0
368,26/03/20,Bihar,0,1,6,0.16666666666666666,0.0
395,27/03/20,Bihar,0,1,6,0.16666666666666666,0.0
422,28/03/20,Bihar,0,1,9,0.1111111111111111,0.0
449,29/03/20,Bihar,0,1,11,0.09090909090909091,0.0
476,30/03/20,Bihar,0,1,15,0.06666666666666667,0.0
504,31/03/20,Bihar,0,1,15,0.06666666666666667,0.0
533,01/04/20,Bihar,0,1,23,0.043478260869565216,0.0
562,02/04/20,Bihar,0,1,24,0.041666666666666664,0.0
592,03/04/20,Bihar,0,1,29,0.034482758620689655,0.0
623,04/04/20,Bihar,0,1,30,0.03333333333333333,0.0
653,05/04/20,Bihar,0,1,30,0.03333333333333333,0.0
683,06/04/20,Bihar,0,1,32,0.03125,0.0
713,07/04/20,Bihar,0,1,32,0.03125,0.0
744,08/04/20,Bihar,0,1,38,0.02631578947368421,0.0
775,09/04/20,Bihar,0,1,39,0.02564102564102564,0.0
806,10/04/20,Bihar,0,1,60,0.016666666666666666,0.0
837,11/04/20,Bihar,0,1,60,0.016666666666666666,0.0
868,12/04/20,Bihar,19,1,64,0.015625,0.296875
899,13/04/20,Bihar,26,1,64,0.015625,0.40625
931,14/04/20,Bihar,26,1,66,0.015151515151515152,0.3939393939393939
964,15/04/20,Bihar,29,1,70,0.014285714285714285,0.4142857142857143
997,16/04/20,Bihar,29,1,74,0.013513513513513514,0.3918918918918919
1030,17/04/20,Bihar,37,1,83,0.012048192771084338,0.4457831325301205
1063,18/04/20,Bihar,37,2,85,0.023529411764705882,0.43529411764705883
1096,19/04/20,Bihar,37,2,86,0.023255813953488372,0.43023255813953487
1129,20/04/20,Bihar,42,2,96,0.020833333333333332,0.4375
1162,21/04/20,Bihar,42,2,114,0.017543859649122806,0.3684210526315789
1195,22/04/20,Bihar,46,2,126,0.015873015873015872,0.36507936507936506
1227,23/04/20,Bihar,46,2,148,0.013513513513513514,0.3108108108108108
1259,24/04/20,Bihar,46,2,176,0.011363636363636364,0.26136363636363635
1291,25/04/20,Bihar,46,2,228,0.008771929824561403,0.20175438596491227
1323,26/04/20,Bihar,46,2,251,0.00796812749003984,0.18326693227091634
1355,27/04/20,Bihar,56,2,277,0.007220216606498195,0.20216606498194944
1387,28/04/20,Bihar,57,2,346,0.005780346820809248,0.16473988439306358
1419,29/04/20,Bihar,64,2,383,0.005221932114882507,0.1671018276762402
1451,30/04/20,Bihar,65,2,403,0.004962779156327543,0.16129032258064516
1483,01/05/20,Bihar,82,2,426,0.004694835680751174,0.19248826291079812
1515,02/05/20,Bihar,98,3,471,0.006369426751592357,0.208067940552017
1547,03/05/20,Bihar,117,4,482,0.008298755186721992,0.24273858921161826
1579,04/05/20,Bihar,125,4,517,0.007736943907156673,0.24177949709864605
1611,05/05/20,Bihar,130,4,529,0.007561436672967864,0.24574669187145556
1643,06/05/20,Bihar,142,4,536,0.007462686567164179,0.26492537313432835
1676,07/05/20,Bihar,188,4,542,0.007380073800738007,0.34686346863468637
1709,08/05/20,Bihar,246,5,550,0.00909090909090909,0.44727272727272727
1742,09/05/20,Bihar,297,5,571,0.008756567425569177,0.5201401050788091
1775,10/05/20,Bihar,322,5,591,0.008460236886632826,0.544839255499154
1808,11/05/20,Bihar,365,6,696,0.008620689655172414,0.5244252873563219
1841,12/05/20,Bihar,377,6,747,0.008032128514056224,0.5046854082998661
1874,13/05/20,Bihar,383,6,831,0.007220216606498195,0.4608904933814681
1907,14/05/20,Bihar,388,7,940,0.007446808510638298,0.4127659574468085
1940,15/05/20,Bihar,411,7,994,0.007042253521126761,0.4134808853118712
1973,16/05/20,Bihar,438,7,1018,0.0068762278978389,0.4302554027504912
2006,17/05/20,Bihar,453,7,1179,0.005937234944868533,0.3842239185750636
2039,18/05/20,Bihar,475,8,1262,0.006339144215530904,0.3763866877971474
2072,19/05/20,Bihar,494,9,1391,0.006470165348670022,0.35514018691588783
2105,20/05/20,Bihar,534,9,1498,0.006008010680907877,0.35647530040053405
2139,21/05/20,Bihar,571,10,1674,0.005973715651135006,0.34109916367980886
2173,22/05/20,Bihar,593,11,1982,0.005549949545913219,0.29919273461150353
2207,23/05/20,Bihar,629,11,2177,0.005052824988516307,0.288929719797887
2241,24/05/20,Bihar,653,11,2380,0.004621848739495798,0.2743697478991597
2276,25/05/20,Bihar,702,13,2587,0.005025125628140704,0.271356783919598
2311,26/05/20,Bihar,749,13,2730,0.004761904761904762,0.2743589743589744
2347,27/05/20,Bihar,900,13,2983,0.004358028830036876,0.30170968823332217
2383,28/05/20,Bihar,1083,15,3061,0.004900359359686377,0.3538059457693564
2419,29/05/20,Bihar,1211,15,3296,0.0045509708737864075,0.36741504854368934
2455,30/05/20,Bihar,1211,15,3376,0.004443127962085308,0.3587085308056872
2491,31/05/20,Bihar,1618,20,3636,0.005500550055005501,0.444994499449945
2527,01/06/20,Bihar,1710,21,3815,0.005504587155963303,0.44823066841415465
2563,02/06/20,Bihar,1900,24,3926,0.006113092205807438,0.48395313295975545
2599,03/06/20,Bihar,1946,24,4155,0.005776173285198556,0.4683513838748496
2635,04/06/20,Bihar,2077,25,4390,0.0056947608200455585,0.47312072892938495
2671,05/06/20,Bihar,2210,29,4493,0.006454484754061874,0.49187625194747386
