Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
223,19/03/20,Chandigarh,0,0,1,0.0,0.0
243,20/03/20,Chandigarh,0,0,1,0.0,0.0
265,21/03/20,Chandigarh,0,0,1,0.0,0.0
288,22/03/20,Chandigarh,0,0,5,0.0,0.0
311,23/03/20,Chandigarh,0,0,6,0.0,0.0
335,24/03/20,Chandigarh,0,0,7,0.0,0.0
360,25/03/20,Chandigarh,0,0,7,0.0,0.0
369,26/03/20,Chandigarh,0,0,7,0.0,0.0
396,27/03/20,Chandigarh,0,0,7,0.0,0.0
423,28/03/20,Chandigarh,0,0,8,0.0,0.0
450,29/03/20,Chandigarh,0,0,8,0.0,0.0
477,30/03/20,Chandigarh,0,0,8,0.0,0.0
505,31/03/20,Chandigarh,0,0,13,0.0,0.0
534,01/04/20,Chandigarh,0,0,16,0.0,0.0
563,02/04/20,Chandigarh,0,0,16,0.0,0.0
593,03/04/20,Chandigarh,0,0,18,0.0,0.0
624,04/04/20,Chandigarh,0,0,18,0.0,0.0
654,05/04/20,Chandigarh,0,0,18,0.0,0.0
684,06/04/20,Chandigarh,0,0,18,0.0,0.0
714,07/04/20,Chandigarh,7,0,18,0.0,0.3888888888888889
745,08/04/20,Chandigarh,7,0,18,0.0,0.3888888888888889
776,09/04/20,Chandigarh,7,0,18,0.0,0.3888888888888889
807,10/04/20,Chandigarh,7,0,18,0.0,0.3888888888888889
838,11/04/20,Chandigarh,7,0,18,0.0,0.3888888888888889
869,12/04/20,Chandigarh,7,0,19,0.0,0.3684210526315789
900,13/04/20,Chandigarh,7,0,21,0.0,0.3333333333333333
932,14/04/20,Chandigarh,7,0,21,0.0,0.3333333333333333
965,15/04/20,Chandigarh,7,0,21,0.0,0.3333333333333333
998,16/04/20,Chandigarh,7,0,21,0.0,0.3333333333333333
1031,17/04/20,Chandigarh,9,0,21,0.0,0.42857142857142855
1064,18/04/20,Chandigarh,9,0,21,0.0,0.42857142857142855
1097,19/04/20,Chandigarh,10,0,23,0.0,0.43478260869565216
1130,20/04/20,Chandigarh,13,0,26,0.0,0.5
1163,21/04/20,Chandigarh,13,0,26,0.0,0.5
1196,22/04/20,Chandigarh,14,0,27,0.0,0.5185185185185185
1228,23/04/20,Chandigarh,14,0,27,0.0,0.5185185185185185
1260,24/04/20,Chandigarh,14,0,27,0.0,0.5185185185185185
1292,25/04/20,Chandigarh,15,0,28,0.0,0.5357142857142857
1324,26/04/20,Chandigarh,17,0,30,0.0,0.5666666666666667
1356,27/04/20,Chandigarh,17,0,30,0.0,0.5666666666666667
1388,28/04/20,Chandigarh,17,0,40,0.0,0.425
1420,29/04/20,Chandigarh,17,0,56,0.0,0.30357142857142855
1452,30/04/20,Chandigarh,17,0,56,0.0,0.30357142857142855
1484,01/05/20,Chandigarh,17,0,56,0.0,0.30357142857142855
1516,02/05/20,Chandigarh,17,0,88,0.0,0.19318181818181818
1548,03/05/20,Chandigarh,19,0,94,0.0,0.20212765957446807
1580,04/05/20,Chandigarh,19,0,94,0.0,0.20212765957446807
1612,05/05/20,Chandigarh,21,1,102,0.00980392156862745,0.20588235294117646
1644,06/05/20,Chandigarh,21,1,111,0.009009009009009009,0.1891891891891892
1677,07/05/20,Chandigarh,21,1,120,0.008333333333333333,0.175
1710,08/05/20,Chandigarh,21,1,135,0.007407407407407408,0.15555555555555556
1743,09/05/20,Chandigarh,21,1,150,0.006666666666666667,0.14
1776,10/05/20,Chandigarh,24,2,169,0.011834319526627219,0.14201183431952663
1809,11/05/20,Chandigarh,24,2,169,0.011834319526627219,0.14201183431952663
1842,12/05/20,Chandigarh,24,2,174,0.011494252873563218,0.13793103448275862
1875,13/05/20,Chandigarh,28,3,187,0.016042780748663103,0.1497326203208556
1908,14/05/20,Chandigarh,28,3,187,0.016042780748663103,0.1497326203208556
1941,15/05/20,Chandigarh,37,3,191,0.015706806282722512,0.193717277486911
1974,16/05/20,Chandigarh,37,3,191,0.015706806282722512,0.193717277486911
2007,17/05/20,Chandigarh,51,3,191,0.015706806282722512,0.2670157068062827
2040,18/05/20,Chandigarh,51,3,191,0.015706806282722512,0.2670157068062827
2073,19/05/20,Chandigarh,54,3,196,0.015306122448979591,0.2755102040816326
2106,20/05/20,Chandigarh,57,3,200,0.015,0.285
2140,21/05/20,Chandigarh,57,3,202,0.01485148514851485,0.28217821782178215
2174,22/05/20,Chandigarh,139,3,217,0.013824884792626729,0.6405529953917051
2208,23/05/20,Chandigarh,178,3,218,0.013761467889908258,0.8165137614678899
2242,24/05/20,Chandigarh,179,3,225,0.013333333333333334,0.7955555555555556
2277,25/05/20,Chandigarh,186,3,238,0.012605042016806723,0.7815126050420168
2312,26/05/20,Chandigarh,186,3,238,0.012605042016806723,0.7815126050420168
2348,27/05/20,Chandigarh,187,4,266,0.015037593984962405,0.7030075187969925
2384,28/05/20,Chandigarh,187,4,279,0.014336917562724014,0.6702508960573477
2420,29/05/20,Chandigarh,189,4,288,0.013888888888888888,0.65625
2456,30/05/20,Chandigarh,189,4,289,0.01384083044982699,0.6539792387543253
2492,31/05/20,Chandigarh,189,4,289,0.01384083044982699,0.6539792387543253
2528,01/06/20,Chandigarh,199,4,293,0.013651877133105802,0.6791808873720137
2564,02/06/20,Chandigarh,199,4,294,0.013605442176870748,0.6768707482993197
2600,03/06/20,Chandigarh,214,5,301,0.016611295681063124,0.7109634551495017
2636,04/06/20,Chandigarh,214,5,301,0.016611295681063124,0.7109634551495017
2672,05/06/20,Chandigarh,214,5,301,0.016611295681063124,0.7109634551495017
