Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
211,19/03/20,Chhattisgarh,0,0,1,0.0,0.0
230,20/03/20,Chhattisgarh,0,0,1,0.0,0.0
250,21/03/20,Chhattisgarh,0,0,1,0.0,0.0
273,22/03/20,Chhattisgarh,0,0,1,0.0,0.0
296,23/03/20,Chhattisgarh,0,0,1,0.0,0.0
319,24/03/20,Chhattisgarh,0,0,1,0.0,0.0
343,25/03/20,Chhattisgarh,0,0,1,0.0,0.0
370,26/03/20,Chhattisgarh,0,0,6,0.0,0.0
397,27/03/20,Chhattisgarh,0,0,6,0.0,0.0
424,28/03/20,Chhattisgarh,0,0,6,0.0,0.0
451,29/03/20,Chhattisgarh,0,0,7,0.0,0.0
478,30/03/20,Chhattisgarh,0,0,7,0.0,0.0
506,31/03/20,Chhattisgarh,0,0,8,0.0,0.0
535,01/04/20,Chhattisgarh,2,0,9,0.0,0.2222222222222222
564,02/04/20,Chhattisgarh,2,0,9,0.0,0.2222222222222222
594,03/04/20,Chhattisgarh,3,0,9,0.0,0.3333333333333333
625,04/04/20,Chhattisgarh,3,0,9,0.0,0.3333333333333333
655,05/04/20,Chhattisgarh,3,0,9,0.0,0.3333333333333333
685,06/04/20,Chhattisgarh,8,0,10,0.0,0.8
715,07/04/20,Chhattisgarh,9,0,10,0.0,0.9
746,08/04/20,Chhattisgarh,9,0,10,0.0,0.9
777,09/04/20,Chhattisgarh,9,0,10,0.0,0.9
808,10/04/20,Chhattisgarh,9,0,10,0.0,0.9
839,11/04/20,Chhattisgarh,9,0,18,0.0,0.5
870,12/04/20,Chhattisgarh,10,0,25,0.0,0.4
901,13/04/20,Chhattisgarh,10,0,31,0.0,0.3225806451612903
933,14/04/20,Chhattisgarh,10,0,31,0.0,0.3225806451612903
966,15/04/20,Chhattisgarh,13,0,33,0.0,0.3939393939393939
999,16/04/20,Chhattisgarh,17,0,33,0.0,0.5151515151515151
1032,17/04/20,Chhattisgarh,23,0,36,0.0,0.6388888888888888
1065,18/04/20,Chhattisgarh,24,0,36,0.0,0.6666666666666666
1098,19/04/20,Chhattisgarh,24,0,36,0.0,0.6666666666666666
1131,20/04/20,Chhattisgarh,25,0,36,0.0,0.6944444444444444
1164,21/04/20,Chhattisgarh,25,0,36,0.0,0.6944444444444444
1197,22/04/20,Chhattisgarh,26,0,36,0.0,0.7222222222222222
1229,23/04/20,Chhattisgarh,28,0,36,0.0,0.7777777777777778
1261,24/04/20,Chhattisgarh,28,0,36,0.0,0.7777777777777778
1293,25/04/20,Chhattisgarh,30,0,36,0.0,0.8333333333333334
1325,26/04/20,Chhattisgarh,32,0,37,0.0,0.8648648648648649
1357,27/04/20,Chhattisgarh,32,0,37,0.0,0.8648648648648649
1389,28/04/20,Chhattisgarh,32,0,37,0.0,0.8648648648648649
1421,29/04/20,Chhattisgarh,34,0,38,0.0,0.8947368421052632
1453,30/04/20,Chhattisgarh,36,0,38,0.0,0.9473684210526315
1485,01/05/20,Chhattisgarh,36,0,40,0.0,0.9
1517,02/05/20,Chhattisgarh,36,0,43,0.0,0.8372093023255814
1549,03/05/20,Chhattisgarh,36,0,43,0.0,0.8372093023255814
1581,04/05/20,Chhattisgarh,36,0,57,0.0,0.631578947368421
1613,05/05/20,Chhattisgarh,36,0,58,0.0,0.6206896551724138
1645,06/05/20,Chhattisgarh,36,0,59,0.0,0.6101694915254238
1678,07/05/20,Chhattisgarh,36,0,59,0.0,0.6101694915254238
1711,08/05/20,Chhattisgarh,38,0,59,0.0,0.6440677966101694
1744,09/05/20,Chhattisgarh,38,0,59,0.0,0.6440677966101694
1777,10/05/20,Chhattisgarh,43,0,59,0.0,0.7288135593220338
1810,11/05/20,Chhattisgarh,49,0,59,0.0,0.8305084745762712
1843,12/05/20,Chhattisgarh,53,0,59,0.0,0.8983050847457628
1876,13/05/20,Chhattisgarh,54,0,59,0.0,0.9152542372881356
1909,14/05/20,Chhattisgarh,55,0,59,0.0,0.9322033898305084
1942,15/05/20,Chhattisgarh,56,0,60,0.0,0.9333333333333333
1975,16/05/20,Chhattisgarh,56,0,66,0.0,0.8484848484848485
2008,17/05/20,Chhattisgarh,56,0,67,0.0,0.835820895522388
2041,18/05/20,Chhattisgarh,59,0,86,0.0,0.686046511627907
2074,19/05/20,Chhattisgarh,59,0,93,0.0,0.6344086021505376
2107,20/05/20,Chhattisgarh,59,0,101,0.0,0.5841584158415841
2141,21/05/20,Chhattisgarh,59,0,115,0.0,0.5130434782608696
2175,22/05/20,Chhattisgarh,59,0,128,0.0,0.4609375
2209,23/05/20,Chhattisgarh,62,0,172,0.0,0.36046511627906974
2243,24/05/20,Chhattisgarh,64,0,214,0.0,0.29906542056074764
2278,25/05/20,Chhattisgarh,67,0,252,0.0,0.26587301587301587
2313,26/05/20,Chhattisgarh,72,0,291,0.0,0.24742268041237114
2349,27/05/20,Chhattisgarh,79,0,361,0.0,0.2188365650969529
2385,28/05/20,Chhattisgarh,83,0,369,0.0,0.22493224932249323
2421,29/05/20,Chhattisgarh,83,0,399,0.0,0.20802005012531327
2457,30/05/20,Chhattisgarh,100,1,415,0.0024096385542168677,0.24096385542168675
2493,31/05/20,Chhattisgarh,102,1,447,0.0022371364653243847,0.22818791946308725
2529,01/06/20,Chhattisgarh,115,1,498,0.002008032128514056,0.23092369477911648
2565,02/06/20,Chhattisgarh,122,1,547,0.0018281535648994515,0.2230347349177331
2601,03/06/20,Chhattisgarh,130,1,564,0.0017730496453900709,0.23049645390070922
2637,04/06/20,Chhattisgarh,188,2,668,0.0029940119760479044,0.281437125748503
2673,05/06/20,Chhattisgarh,213,2,756,0.0026455026455026454,0.28174603174603174
