Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
35,02/03/20,Delhi,0,0,1,0.0,0.0
39,03/03/20,Delhi,0,0,1,0.0,0.0
43,04/03/20,Delhi,0,0,1,0.0,0.0
46,05/03/20,Delhi,0,0,2,0.0,0.0
52,06/03/20,Delhi,0,0,3,0.0,0.0
63,07/03/20,Delhi,0,0,3,0.0,0.0
72,08/03/20,Delhi,0,0,3,0.0,0.0
85,09/03/20,Delhi,0,0,4,0.0,0.0
88,10/03/20,Delhi,0,0,4,0.0,0.0
99,11/03/20,Delhi,0,0,5,0.0,0.0
110,12/03/20,Delhi,0,0,6,0.0,0.0
123,13/03/20,Delhi,0,0,6,0.0,0.0
136,14/03/20,Delhi,1,1,7,0.14285714285714285,0.14285714285714285
150,15/03/20,Delhi,2,1,7,0.14285714285714285,0.2857142857142857
164,16/03/20,Delhi,2,1,7,0.14285714285714285,0.2857142857142857
179,17/03/20,Delhi,2,1,8,0.125,0.25
194,18/03/20,Delhi,2,1,10,0.1,0.2
212,19/03/20,Delhi,3,1,12,0.08333333333333333,0.25
231,20/03/20,Delhi,5,1,17,0.058823529411764705,0.29411764705882354
251,21/03/20,Delhi,5,1,26,0.038461538461538464,0.19230769230769232
274,22/03/20,Delhi,5,1,29,0.034482758620689655,0.1724137931034483
297,23/03/20,Delhi,5,1,29,0.034482758620689655,0.1724137931034483
320,24/03/20,Delhi,6,1,30,0.03333333333333333,0.2
344,25/03/20,Delhi,6,1,31,0.03225806451612903,0.1935483870967742
371,26/03/20,Delhi,6,1,36,0.027777777777777776,0.16666666666666666
398,27/03/20,Delhi,6,1,36,0.027777777777777776,0.16666666666666666
425,28/03/20,Delhi,6,1,39,0.02564102564102564,0.15384615384615385
452,29/03/20,Delhi,6,2,49,0.04081632653061224,0.12244897959183673
479,30/03/20,Delhi,6,2,87,0.022988505747126436,0.06896551724137931
507,31/03/20,Delhi,6,2,97,0.020618556701030927,0.061855670103092786
536,01/04/20,Delhi,6,2,152,0.013157894736842105,0.039473684210526314
565,02/04/20,Delhi,8,4,219,0.0182648401826484,0.0365296803652968
595,03/04/20,Delhi,8,4,219,0.0182648401826484,0.0365296803652968
626,04/04/20,Delhi,15,6,445,0.01348314606741573,0.033707865168539325
656,05/04/20,Delhi,18,7,503,0.013916500994035786,0.03578528827037773
686,06/04/20,Delhi,19,7,523,0.01338432122370937,0.036328871892925434
716,07/04/20,Delhi,21,7,576,0.012152777777777778,0.036458333333333336
747,08/04/20,Delhi,21,9,576,0.015625,0.036458333333333336
778,09/04/20,Delhi,21,9,669,0.013452914798206279,0.03139013452914798
809,10/04/20,Delhi,25,13,898,0.014476614699331848,0.02783964365256125
840,11/04/20,Delhi,25,14,903,0.015503875968992248,0.02768549280177187
871,12/04/20,Delhi,25,19,1069,0.01777362020579981,0.023386342376052385
902,13/04/20,Delhi,27,24,1154,0.02079722703639515,0.02339688041594454
934,14/04/20,Delhi,30,28,1510,0.018543046357615896,0.019867549668874173
967,15/04/20,Delhi,30,30,1561,0.019218449711723255,0.019218449711723255
1000,16/04/20,Delhi,42,32,1578,0.020278833967046894,0.026615969581749048
1033,17/04/20,Delhi,51,38,1640,0.023170731707317073,0.031097560975609756
1066,18/04/20,Delhi,72,42,1707,0.02460456942003515,0.0421792618629174
1099,19/04/20,Delhi,72,43,1893,0.02271526677231907,0.03803486529318542
1132,20/04/20,Delhi,290,45,2003,0.022466300549176237,0.14478282576135795
1165,21/04/20,Delhi,431,47,2081,0.022585295530994715,0.2071119654012494
1198,22/04/20,Delhi,611,47,2156,0.021799628942486084,0.28339517625231914
1230,23/04/20,Delhi,724,48,2248,0.021352313167259787,0.3220640569395018
1262,24/04/20,Delhi,808,50,2376,0.021043771043771045,0.3400673400673401
1294,25/04/20,Delhi,857,53,2514,0.021081941129673827,0.34089101034208436
1326,26/04/20,Delhi,869,54,2625,0.02057142857142857,0.33104761904761904
1358,27/04/20,Delhi,877,54,2918,0.018505825908156272,0.3005483207676491
1390,28/04/20,Delhi,877,54,3108,0.017374517374517374,0.28217503217503215
1422,29/04/20,Delhi,1078,54,3314,0.016294508147254073,0.32528666264333134
1454,30/04/20,Delhi,1092,56,3439,0.01628380343123001,0.31753416690898517
1486,01/05/20,Delhi,1094,59,3515,0.01678520625889047,0.3112375533428165
1518,02/05/20,Delhi,1167,61,3738,0.01631888710540396,0.31219903691813805
1550,03/05/20,Delhi,1256,64,4122,0.015526443474041727,0.3047064531780689
1582,04/05/20,Delhi,1362,64,4549,0.014069026159595516,0.29940646295889206
1614,05/05/20,Delhi,1431,64,4898,0.013066557778685178,0.2921600653327889
1647,06/05/20,Delhi,1468,64,5104,0.012539184952978056,0.28761755485893414
1680,07/05/20,Delhi,1542,65,5532,0.011749819233550254,0.2787418655097614
1713,08/05/20,Delhi,1931,66,5980,0.011036789297658863,0.3229096989966555
1746,09/05/20,Delhi,2020,68,6318,0.010762899651788541,0.31972143083254195
1779,10/05/20,Delhi,2020,73,6542,0.011158667074289209,0.3087740752063589
1812,11/05/20,Delhi,2069,73,6923,0.01054456160624007,0.29885887620973567
1845,12/05/20,Delhi,2129,73,7233,0.01009263099682013,0.29434536153739804
1878,13/05/20,Delhi,2512,86,7639,0.011258018065191779,0.3288388532530436
1911,14/05/20,Delhi,2858,106,7998,0.013253313328332083,0.35733933483370844
1944,15/05/20,Delhi,3045,115,8470,0.01357733175914994,0.359504132231405
1977,16/05/20,Delhi,3518,123,8895,0.013827993254637436,0.39550309162450814
2010,17/05/20,Delhi,3926,129,9333,0.013821922211507553,0.4206578806385942
2043,18/05/20,Delhi,4485,160,10054,0.015914064054107818,0.44609110801670976
2076,19/05/20,Delhi,4485,168,10054,0.01670976725681321,0.44609110801670976
2109,20/05/20,Delhi,4750,168,10554,0.015918135304150087,0.4500663255637673
2143,21/05/20,Delhi,5192,176,11088,0.015873015873015872,0.46825396825396826
2177,22/05/20,Delhi,5567,194,11659,0.016639505961060126,0.47748520456299853
2211,23/05/20,Delhi,5897,208,12319,0.016884487377222177,0.47869145222826526
2245,24/05/20,Delhi,6267,231,12910,0.017893106119287374,0.485437645236251
2280,25/05/20,Delhi,6540,261,13418,0.019451483082426592,0.487404978387241
2315,26/05/20,Delhi,6771,276,14053,0.019639934533551555,0.48181882871984627
2351,27/05/20,Delhi,7223,288,14465,0.01991012789491877,0.4993432423090218
2387,28/05/20,Delhi,7264,303,15257,0.019859736514386838,0.47610932686635643
2423,29/05/20,Delhi,7495,316,16281,0.019409127203488728,0.460352558196671
2459,30/05/20,Delhi,7846,398,17386,0.02289198205452663,0.4512826412055677
2495,31/05/20,Delhi,8075,416,18549,0.02242708501806027,0.4353334411558575
2531,01/06/20,Delhi,8478,473,19844,0.02383592017738359,0.42723241281999597
2567,02/06/20,Delhi,8746,523,20834,0.025103196697705672,0.41979456657386965
2603,03/06/20,Delhi,9243,556,22132,0.025121995300921744,0.41763058015543103
