Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
372,26/03/20,Goa,0,0,3,0.0,0.0
399,27/03/20,Goa,0,0,3,0.0,0.0
426,28/03/20,Goa,0,0,3,0.0,0.0
453,29/03/20,Goa,0,0,5,0.0,0.0
480,30/03/20,Goa,0,0,5,0.0,0.0
508,31/03/20,Goa,0,0,5,0.0,0.0
537,01/04/20,Goa,0,0,5,0.0,0.0
566,02/04/20,Goa,0,0,5,0.0,0.0
596,03/04/20,Goa,0,0,6,0.0,0.0
627,04/04/20,Goa,0,0,7,0.0,0.0
657,05/04/20,Goa,0,0,7,0.0,0.0
687,06/04/20,Goa,0,0,7,0.0,0.0
717,07/04/20,Goa,0,0,7,0.0,0.0
748,08/04/20,Goa,0,0,7,0.0,0.0
779,09/04/20,Goa,0,0,7,0.0,0.0
810,10/04/20,Goa,1,0,7,0.0,0.14285714285714285
841,11/04/20,Goa,1,0,7,0.0,0.14285714285714285
872,12/04/20,Goa,5,0,7,0.0,0.7142857142857143
903,13/04/20,Goa,5,0,7,0.0,0.7142857142857143
935,14/04/20,Goa,5,0,7,0.0,0.7142857142857143
968,15/04/20,Goa,5,0,7,0.0,0.7142857142857143
1001,16/04/20,Goa,5,0,7,0.0,0.7142857142857143
1034,17/04/20,Goa,6,0,7,0.0,0.8571428571428571
1067,18/04/20,Goa,6,0,7,0.0,0.8571428571428571
1100,19/04/20,Goa,6,0,7,0.0,0.8571428571428571
1133,20/04/20,Goa,7,0,7,0.0,1.0
1166,21/04/20,Goa,7,0,7,0.0,1.0
1199,22/04/20,Goa,7,0,7,0.0,1.0
1231,23/04/20,Goa,7,0,7,0.0,1.0
1263,24/04/20,Goa,7,0,7,0.0,1.0
1295,25/04/20,Goa,7,0,7,0.0,1.0
1327,26/04/20,Goa,7,0,7,0.0,1.0
1359,27/04/20,Goa,7,0,7,0.0,1.0
1391,28/04/20,Goa,7,0,7,0.0,1.0
1423,29/04/20,Goa,7,0,7,0.0,1.0
1455,30/04/20,Goa,7,0,7,0.0,1.0
1487,01/05/20,Goa,7,0,7,0.0,1.0
1519,02/05/20,Goa,7,0,7,0.0,1.0
1551,03/05/20,Goa,7,0,7,0.0,1.0
1583,04/05/20,Goa,7,0,7,0.0,1.0
1615,05/05/20,Goa,7,0,7,0.0,1.0
1648,06/05/20,Goa,7,0,7,0.0,1.0
1681,07/05/20,Goa,7,0,7,0.0,1.0
1714,08/05/20,Goa,7,0,7,0.0,1.0
1747,09/05/20,Goa,7,0,7,0.0,1.0
1780,10/05/20,Goa,7,0,7,0.0,1.0
1813,11/05/20,Goa,7,0,7,0.0,1.0
1846,12/05/20,Goa,7,0,7,0.0,1.0
1879,13/05/20,Goa,7,0,7,0.0,1.0
1912,14/05/20,Goa,7,0,7,0.0,1.0
1945,15/05/20,Goa,7,0,14,0.0,0.5
1978,16/05/20,Goa,7,0,15,0.0,0.4666666666666667
2011,17/05/20,Goa,7,0,17,0.0,0.4117647058823529
2044,18/05/20,Goa,7,0,29,0.0,0.2413793103448276
2077,19/05/20,Goa,7,0,38,0.0,0.18421052631578946
2110,20/05/20,Goa,7,0,46,0.0,0.15217391304347827
2144,21/05/20,Goa,7,0,50,0.0,0.14
2178,22/05/20,Goa,7,0,52,0.0,0.1346153846153846
2212,23/05/20,Goa,16,0,54,0.0,0.2962962962962963
2246,24/05/20,Goa,16,0,55,0.0,0.2909090909090909
2281,25/05/20,Goa,19,0,66,0.0,0.2878787878787879
2316,26/05/20,Goa,19,0,67,0.0,0.2835820895522388
2352,27/05/20,Goa,28,0,67,0.0,0.417910447761194
2388,28/05/20,Goa,37,0,68,0.0,0.5441176470588235
2424,29/05/20,Goa,38,0,69,0.0,0.5507246376811594
2460,30/05/20,Goa,41,0,69,0.0,0.5942028985507246
2496,31/05/20,Goa,41,0,70,0.0,0.5857142857142857
2532,01/06/20,Goa,42,0,70,0.0,0.6
2568,02/06/20,Goa,42,0,71,0.0,0.5915492957746479
2604,03/06/20,Goa,57,0,79,0.0,0.7215189873417721
2640,04/06/20,Goa,57,0,79,0.0,0.7215189873417721
2676,05/06/20,Goa,57,0,166,0.0,0.3433734939759036
