Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
42,04/03/20,Haryana,0,0,2,0.0,0.0
47,05/03/20,Haryana,0,0,2,0.0,0.0
53,06/03/20,Haryana,0,0,2,0.0,0.0
64,07/03/20,Haryana,0,0,2,0.0,0.0
71,08/03/20,Haryana,0,0,2,0.0,0.0
84,09/03/20,Haryana,0,0,2,0.0,0.0
89,10/03/20,Haryana,0,0,2,0.0,0.0
100,11/03/20,Haryana,0,0,14,0.0,0.0
111,12/03/20,Haryana,0,0,14,0.0,0.0
124,13/03/20,Haryana,0,0,14,0.0,0.0
137,14/03/20,Haryana,0,0,14,0.0,0.0
151,15/03/20,Haryana,0,0,14,0.0,0.0
165,16/03/20,Haryana,0,0,14,0.0,0.0
180,17/03/20,Haryana,0,0,15,0.0,0.0
195,18/03/20,Haryana,0,0,17,0.0,0.0
213,19/03/20,Haryana,0,0,17,0.0,0.0
233,20/03/20,Haryana,0,0,17,0.0,0.0
253,21/03/20,Haryana,0,0,17,0.0,0.0
276,22/03/20,Haryana,0,0,21,0.0,0.0
299,23/03/20,Haryana,0,0,26,0.0,0.0
322,24/03/20,Haryana,11,0,28,0.0,0.39285714285714285
346,25/03/20,Haryana,11,0,28,0.0,0.39285714285714285
374,26/03/20,Haryana,11,0,30,0.0,0.36666666666666664
401,27/03/20,Haryana,11,0,30,0.0,0.36666666666666664
428,28/03/20,Haryana,12,0,33,0.0,0.36363636363636365
455,29/03/20,Haryana,17,0,33,0.0,0.5151515151515151
482,30/03/20,Haryana,18,0,36,0.0,0.5
510,31/03/20,Haryana,21,0,40,0.0,0.525
539,01/04/20,Haryana,21,0,43,0.0,0.4883720930232558
568,02/04/20,Haryana,21,0,43,0.0,0.4883720930232558
598,03/04/20,Haryana,24,0,49,0.0,0.4897959183673469
629,04/04/20,Haryana,24,0,49,0.0,0.4897959183673469
659,05/04/20,Haryana,25,1,59,0.01694915254237288,0.423728813559322
689,06/04/20,Haryana,25,1,84,0.011904761904761904,0.2976190476190476
719,07/04/20,Haryana,25,1,90,0.011111111111111112,0.2777777777777778
750,08/04/20,Haryana,28,3,147,0.02040816326530612,0.19047619047619047
