Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
254,21/03/20,Himachal Pradesh,0,0,2,0.0,0.0
277,22/03/20,Himachal Pradesh,0,0,2,0.0,0.0
300,23/03/20,Himachal Pradesh,0,0,2,0.0,0.0
323,24/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
347,25/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
375,26/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
402,27/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
429,28/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
456,29/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
483,30/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
511,31/03/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
540,01/04/20,Himachal Pradesh,0,1,3,0.3333333333333333,0.0
569,02/04/20,Himachal Pradesh,1,1,3,0.3333333333333333,0.3333333333333333
599,03/04/20,Himachal Pradesh,1,1,6,0.16666666666666666,0.16666666666666666
630,04/04/20,Himachal Pradesh,1,1,6,0.16666666666666666,0.16666666666666666
660,05/04/20,Himachal Pradesh,1,1,6,0.16666666666666666,0.16666666666666666
690,06/04/20,Himachal Pradesh,2,1,13,0.07692307692307693,0.15384615384615385
720,07/04/20,Himachal Pradesh,2,1,13,0.07692307692307693,0.15384615384615385
751,08/04/20,Himachal Pradesh,2,1,18,0.05555555555555555,0.1111111111111111
782,09/04/20,Himachal Pradesh,2,1,18,0.05555555555555555,0.1111111111111111
813,10/04/20,Himachal Pradesh,6,1,28,0.03571428571428571,0.21428571428571427
844,11/04/20,Himachal Pradesh,6,1,28,0.03571428571428571,0.21428571428571427
875,12/04/20,Himachal Pradesh,6,1,32,0.03125,0.1875
906,13/04/20,Himachal Pradesh,13,1,32,0.03125,0.40625
938,14/04/20,Himachal Pradesh,13,1,32,0.03125,0.40625
971,15/04/20,Himachal Pradesh,13,1,33,0.030303030303030304,0.3939393939393939
1004,16/04/20,Himachal Pradesh,16,1,35,0.02857142857142857,0.45714285714285713
1037,17/04/20,Himachal Pradesh,16,1,35,0.02857142857142857,0.45714285714285713
1070,18/04/20,Himachal Pradesh,16,1,38,0.02631578947368421,0.42105263157894735
1103,19/04/20,Himachal Pradesh,16,1,39,0.02564102564102564,0.41025641025641024
1136,20/04/20,Himachal Pradesh,16,1,39,0.02564102564102564,0.41025641025641024
1169,21/04/20,Himachal Pradesh,16,1,39,0.02564102564102564,0.41025641025641024
1202,22/04/20,Himachal Pradesh,16,1,39,0.02564102564102564,0.41025641025641024
1234,23/04/20,Himachal Pradesh,18,1,40,0.025,0.45
1266,24/04/20,Himachal Pradesh,18,1,40,0.025,0.45
1298,25/04/20,Himachal Pradesh,18,1,40,0.025,0.45
1330,26/04/20,Himachal Pradesh,22,1,40,0.025,0.55
1362,27/04/20,Himachal Pradesh,22,1,40,0.025,0.55
1394,28/04/20,Himachal Pradesh,22,1,40,0.025,0.55
1426,29/04/20,Himachal Pradesh,25,1,40,0.025,0.625
1458,30/04/20,Himachal Pradesh,25,1,40,0.025,0.625
1490,01/05/20,Himachal Pradesh,28,1,40,0.025,0.7
1522,02/05/20,Himachal Pradesh,30,1,40,0.025,0.75
1554,03/05/20,Himachal Pradesh,33,1,40,0.025,0.825
1586,04/05/20,Himachal Pradesh,34,1,40,0.025,0.85
1618,05/05/20,Himachal Pradesh,38,1,41,0.024390243902439025,0.926829268292683
1651,06/05/20,Himachal Pradesh,38,2,42,0.047619047619047616,0.9047619047619048
1684,07/05/20,Himachal Pradesh,38,2,45,0.044444444444444446,0.8444444444444444
1717,08/05/20,Himachal Pradesh,38,2,46,0.043478260869565216,0.8260869565217391
1750,09/05/20,Himachal Pradesh,38,2,50,0.04,0.76
1783,10/05/20,Himachal Pradesh,38,2,50,0.04,0.76
1816,11/05/20,Himachal Pradesh,39,2,55,0.03636363636363636,0.7090909090909091
1849,12/05/20,Himachal Pradesh,39,2,59,0.03389830508474576,0.6610169491525424
1882,13/05/20,Himachal Pradesh,39,2,65,0.03076923076923077,0.6
1915,14/05/20,Himachal Pradesh,39,2,66,0.030303030303030304,0.5909090909090909
1948,15/05/20,Himachal Pradesh,39,2,74,0.02702702702702703,0.527027027027027
1981,16/05/20,Himachal Pradesh,39,3,76,0.039473684210526314,0.5131578947368421
2014,17/05/20,Himachal Pradesh,43,3,78,0.038461538461538464,0.5512820512820513
2047,18/05/20,Himachal Pradesh,44,3,80,0.0375,0.55
2080,19/05/20,Himachal Pradesh,44,3,90,0.03333333333333333,0.4888888888888889
2113,20/05/20,Himachal Pradesh,47,3,92,0.03260869565217391,0.5108695652173914
2147,21/05/20,Himachal Pradesh,54,3,110,0.02727272727272727,0.4909090909090909
2181,22/05/20,Himachal Pradesh,59,3,152,0.019736842105263157,0.3881578947368421
2215,23/05/20,Himachal Pradesh,59,3,168,0.017857142857142856,0.35119047619047616
2249,24/05/20,Himachal Pradesh,61,3,185,0.016216216216216217,0.32972972972972975
2284,25/05/20,Himachal Pradesh,63,3,203,0.014778325123152709,0.3103448275862069
2319,26/05/20,Himachal Pradesh,67,5,223,0.02242152466367713,0.3004484304932735
2355,27/05/20,Himachal Pradesh,67,5,247,0.020242914979757085,0.27125506072874495
2391,28/05/20,Himachal Pradesh,70,5,273,0.018315018315018316,0.2564102564102564
2427,29/05/20,Himachal Pradesh,70,5,276,0.018115942028985508,0.2536231884057971
2463,30/05/20,Himachal Pradesh,87,5,295,0.01694915254237288,0.29491525423728815
2499,31/05/20,Himachal Pradesh,111,5,313,0.01597444089456869,0.3546325878594249
2535,01/06/20,Himachal Pradesh,120,5,331,0.015105740181268883,0.36253776435045315
2571,02/06/20,Himachal Pradesh,122,5,340,0.014705882352941176,0.3588235294117647
2607,03/06/20,Himachal Pradesh,140,5,345,0.014492753623188406,0.4057971014492754
2643,04/06/20,Himachal Pradesh,150,5,359,0.013927576601671309,0.4178272980501393
2679,05/06/20,Himachal Pradesh,179,5,383,0.013054830287206266,0.46736292428198434
