Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
542,01/04/20,Jharkhand,0,0,1,0.0,0.0
571,02/04/20,Jharkhand,0,0,1,0.0,0.0
601,03/04/20,Jharkhand,0,0,2,0.0,0.0
632,04/04/20,Jharkhand,0,0,2,0.0,0.0
662,05/04/20,Jharkhand,0,0,3,0.0,0.0
692,06/04/20,Jharkhand,0,0,4,0.0,0.0
722,07/04/20,Jharkhand,0,0,4,0.0,0.0
753,08/04/20,Jharkhand,0,0,4,0.0,0.0
784,09/04/20,Jharkhand,0,0,13,0.0,0.0
815,10/04/20,Jharkhand,0,1,13,0.07692307692307693,0.0
846,11/04/20,Jharkhand,0,1,17,0.058823529411764705,0.0
877,12/04/20,Jharkhand,0,1,17,0.058823529411764705,0.0
908,13/04/20,Jharkhand,0,2,19,0.10526315789473684,0.0
940,14/04/20,Jharkhand,0,2,24,0.08333333333333333,0.0
973,15/04/20,Jharkhand,0,2,27,0.07407407407407407,0.0
1006,16/04/20,Jharkhand,0,2,28,0.07142857142857142,0.0
1039,17/04/20,Jharkhand,0,2,29,0.06896551724137931,0.0
1072,18/04/20,Jharkhand,0,2,33,0.06060606060606061,0.0
1105,19/04/20,Jharkhand,0,2,35,0.05714285714285714,0.0
1138,20/04/20,Jharkhand,0,2,42,0.047619047619047616,0.0
1171,21/04/20,Jharkhand,0,2,46,0.043478260869565216,0.0
1204,22/04/20,Jharkhand,0,3,45,0.06666666666666667,0.0
1236,23/04/20,Jharkhand,8,3,49,0.061224489795918366,0.16326530612244897
1268,24/04/20,Jharkhand,8,3,55,0.05454545454545454,0.14545454545454545
1300,25/04/20,Jharkhand,9,3,59,0.05084745762711865,0.15254237288135594
1332,26/04/20,Jharkhand,13,3,67,0.04477611940298507,0.19402985074626866
1364,27/04/20,Jharkhand,13,3,82,0.036585365853658534,0.15853658536585366
1396,28/04/20,Jharkhand,17,3,103,0.02912621359223301,0.1650485436893204
1428,29/04/20,Jharkhand,19,3,105,0.02857142857142857,0.18095238095238095
1460,30/04/20,Jharkhand,19,3,107,0.028037383177570093,0.17757009345794392
1492,01/05/20,Jharkhand,20,3,111,0.02702702702702703,0.18018018018018017
1524,02/05/20,Jharkhand,20,3,111,0.02702702702702703,0.18018018018018017
1556,03/05/20,Jharkhand,22,3,115,0.02608695652173913,0.19130434782608696
1588,04/05/20,Jharkhand,22,3,115,0.02608695652173913,0.19130434782608696
1620,05/05/20,Jharkhand,27,3,115,0.02608695652173913,0.23478260869565218
1653,06/05/20,Jharkhand,33,3,125,0.024,0.264
1686,07/05/20,Jharkhand,37,3,127,0.023622047244094488,0.29133858267716534
1719,08/05/20,Jharkhand,41,3,132,0.022727272727272728,0.3106060606060606
1752,09/05/20,Jharkhand,52,3,132,0.022727272727272728,0.3939393939393939
1785,10/05/20,Jharkhand,78,3,156,0.019230769230769232,0.5
1818,11/05/20,Jharkhand,78,3,157,0.01910828025477707,0.4968152866242038
1851,12/05/20,Jharkhand,78,3,160,0.01875,0.4875
1884,13/05/20,Jharkhand,79,3,172,0.01744186046511628,0.45930232558139533
1917,14/05/20,Jharkhand,79,3,173,0.017341040462427744,0.45664739884393063
1950,15/05/20,Jharkhand,87,3,197,0.015228426395939087,0.4416243654822335
1983,16/05/20,Jharkhand,87,3,203,0.014778325123152709,0.42857142857142855
2016,17/05/20,Jharkhand,113,3,217,0.013824884792626729,0.5207373271889401
2049,18/05/20,Jharkhand,113,3,223,0.013452914798206279,0.5067264573991032
2082,19/05/20,Jharkhand,113,3,223,0.013452914798206279,0.5067264573991032
2115,20/05/20,Jharkhand,127,3,231,0.012987012987012988,0.5497835497835498
2149,21/05/20,Jharkhand,127,3,231,0.012987012987012988,0.5497835497835498
2183,22/05/20,Jharkhand,129,3,290,0.010344827586206896,0.44482758620689655
2217,23/05/20,Jharkhand,136,3,308,0.00974025974025974,0.44155844155844154
2251,24/05/20,Jharkhand,141,4,350,0.011428571428571429,0.40285714285714286
2286,25/05/20,Jharkhand,148,4,370,0.010810810810810811,0.4
2321,26/05/20,Jharkhand,148,4,377,0.010610079575596816,0.3925729442970822
2357,27/05/20,Jharkhand,175,4,426,0.009389671361502348,0.4107981220657277
2393,28/05/20,Jharkhand,185,4,448,0.008928571428571428,0.41294642857142855
2429,29/05/20,Jharkhand,212,4,469,0.008528784648187633,0.4520255863539446
2465,30/05/20,Jharkhand,216,5,511,0.009784735812133072,0.4227005870841487
2501,31/05/20,Jharkhand,256,5,563,0.008880994671403197,0.4547069271758437
2537,01/06/20,Jharkhand,256,5,610,0.00819672131147541,0.419672131147541
2573,02/06/20,Jharkhand,296,5,659,0.007587253414264037,0.44916540212443096
2609,03/06/20,Jharkhand,320,5,712,0.007022471910112359,0.449438202247191
2645,04/06/20,Jharkhand,321,5,752,0.006648936170212766,0.42686170212765956
2681,05/06/20,Jharkhand,354,6,793,0.007566204287515763,0.44640605296343
