Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
1,30/01/20,Kerala,0,0,1,0.0,0.0
2,31/01/20,Kerala,0,0,1,0.0,0.0
3,01/02/20,Kerala,0,0,2,0.0,0.0
4,02/02/20,Kerala,0,0,3,0.0,0.0
5,03/02/20,Kerala,0,0,3,0.0,0.0
6,04/02/20,Kerala,0,0,3,0.0,0.0
7,05/02/20,Kerala,0,0,3,0.0,0.0
8,06/02/20,Kerala,0,0,3,0.0,0.0
9,07/02/20,Kerala,0,0,3,0.0,0.0
10,08/02/20,Kerala,0,0,3,0.0,0.0
11,09/02/20,Kerala,0,0,3,0.0,0.0
12,10/02/20,Kerala,0,0,3,0.0,0.0
13,11/02/20,Kerala,0,0,3,0.0,0.0
14,12/02/20,Kerala,0,0,3,0.0,0.0
15,13/02/20,Kerala,0,0,3,0.0,0.0
16,14/02/20,Kerala,0,0,3,0.0,0.0
17,15/02/20,Kerala,0,0,3,0.0,0.0
18,16/02/20,Kerala,0,0,3,0.0,0.0
19,17/02/20,Kerala,0,0,3,0.0,0.0
20,18/02/20,Kerala,0,0,3,0.0,0.0
21,19/02/20,Kerala,0,0,3,0.0,0.0
22,20/02/20,Kerala,0,0,3,0.0,0.0
23,21/02/20,Kerala,0,0,3,0.0,0.0
24,22/02/20,Kerala,0,0,3,0.0,0.0
25,23/02/20,Kerala,0,0,3,0.0,0.0
26,24/02/20,Kerala,0,0,3,0.0,0.0
27,25/02/20,Kerala,0,0,3,0.0,0.0
28,26/02/20,Kerala,0,0,3,0.0,0.0
29,27/02/20,Kerala,0,0,3,0.0,0.0
30,28/02/20,Kerala,0,0,3,0.0,0.0
31,29/02/20,Kerala,0,0,3,0.0,0.0
32,01/03/20,Kerala,0,0,3,0.0,0.0
34,02/03/20,Kerala,0,0,3,0.0,0.0
38,03/03/20,Kerala,3,0,3,0.0,1.0
41,04/03/20,Kerala,3,0,3,0.0,1.0
48,05/03/20,Kerala,3,0,3,0.0,1.0
54,06/03/20,Kerala,3,0,3,0.0,1.0
58,07/03/20,Kerala,3,0,3,0.0,1.0
70,08/03/20,Kerala,3,0,8,0.0,0.375
76,09/03/20,Kerala,3,0,9,0.0,0.3333333333333333
91,10/03/20,Kerala,3,0,15,0.0,0.2
101,11/03/20,Kerala,3,0,17,0.0,0.17647058823529413
112,12/03/20,Kerala,3,0,17,0.0,0.17647058823529413
125,13/03/20,Kerala,3,0,19,0.0,0.15789473684210525
138,14/03/20,Kerala,3,0,19,0.0,0.15789473684210525
153,15/03/20,Kerala,3,0,22,0.0,0.13636363636363635
