Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
77,09/03/20,Maharashtra,0,0,2,0.0,0.0
92,10/03/20,Maharashtra,0,0,5,0.0,0.0
98,11/03/20,Maharashtra,0,0,2,0.0,0.0
121,12/03/20,Maharashtra,0,0,11,0.0,0.0
134,13/03/20,Maharashtra,0,0,14,0.0,0.0
147,14/03/20,Maharashtra,0,0,14,0.0,0.0
154,15/03/20,Maharashtra,0,0,32,0.0,0.0
168,16/03/20,Maharashtra,0,0,32,0.0,0.0
183,17/03/20,Maharashtra,0,1,39,0.02564102564102564,0.0
198,18/03/20,Maharashtra,0,1,42,0.023809523809523808,0.0
216,19/03/20,Maharashtra,0,1,47,0.02127659574468085,0.0
236,20/03/20,Maharashtra,0,1,52,0.019230769230769232,0.0
258,21/03/20,Maharashtra,0,1,63,0.015873015873015872,0.0
281,22/03/20,Maharashtra,0,2,67,0.029850746268656716,0.0
304,23/03/20,Maharashtra,0,2,74,0.02702702702702703,0.0
327,24/03/20,Maharashtra,0,2,89,0.02247191011235955,0.0
351,25/03/20,Maharashtra,1,3,128,0.0234375,0.0078125
381,26/03/20,Maharashtra,1,3,124,0.024193548387096774,0.008064516129032258
408,27/03/20,Maharashtra,15,4,130,0.03076923076923077,0.11538461538461539
435,28/03/20,Maharashtra,25,5,180,0.027777777777777776,0.1388888888888889
462,29/03/20,Maharashtra,25,6,186,0.03225806451612903,0.13440860215053763
489,30/03/20,Maharashtra,25,8,198,0.04040404040404041,0.12626262626262627
517,31/03/20,Maharashtra,39,9,216,0.041666666666666664,0.18055555555555555
547,01/04/20,Maharashtra,39,9,302,0.029801324503311258,0.1291390728476821
576,02/04/20,Maharashtra,42,13,335,0.03880597014925373,0.1253731343283582
606,03/04/20,Maharashtra,42,16,335,0.04776119402985075,0.1253731343283582
637,04/04/20,Maharashtra,42,24,490,0.04897959183673469,0.08571428571428572
667,05/04/20,Maharashtra,42,24,490,0.04897959183673469,0.08571428571428572
697,06/04/20,Maharashtra,56,45,748,0.06016042780748663,0.0748663101604278
727,07/04/20,Maharashtra,56,48,868,0.055299539170506916,0.06451612903225806
758,08/04/20,Maharashtra,79,64,1018,0.06286836935166994,0.07760314341846758
789,09/04/20,Maharashtra,117,72,1135,0.06343612334801763,0.10308370044052863
820,10/04/20,Maharashtra,125,97,1364,0.07111436950146628,0.09164222873900293
851,11/04/20,Maharashtra,188,110,1574,0.0698856416772554,0.11944091486658195
882,12/04/20,Maharashtra,208,127,1761,0.07211811470755253,0.11811470755252697
913,13/04/20,Maharashtra,217,149,1985,0.07506297229219143,0.1093198992443325
945,14/04/20,Maharashtra,229,160,2337,0.06846384253316218,0.09798887462558836
