Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
947,14/04/20,Meghalaya,0,0,1,0.0,0.0
980,15/04/20,Meghalaya,0,1,7,0.14285714285714285,0.0
1013,16/04/20,Meghalaya,0,1,7,0.14285714285714285,0.0
1046,17/04/20,Meghalaya,0,1,9,0.1111111111111111,0.0
1079,18/04/20,Meghalaya,0,1,11,0.09090909090909091,0.0
1112,19/04/20,Meghalaya,0,1,11,0.09090909090909091,0.0
1145,20/04/20,Meghalaya,0,1,11,0.09090909090909091,0.0
1178,21/04/20,Meghalaya,0,1,11,0.09090909090909091,0.0
1211,22/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1243,23/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1275,24/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1307,25/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1339,26/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1371,27/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1403,28/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1435,29/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1467,30/04/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1499,01/05/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1531,02/05/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1563,03/05/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1595,04/05/20,Meghalaya,0,1,12,0.08333333333333333,0.0
1627,05/05/20,Meghalaya,10,1,12,0.08333333333333333,0.8333333333333334
1660,06/05/20,Meghalaya,10,1,12,0.08333333333333333,0.8333333333333334
1693,07/05/20,Meghalaya,10,1,12,0.08333333333333333,0.8333333333333334
1726,08/05/20,Meghalaya,10,1,12,0.08333333333333333,0.8333333333333334
1759,09/05/20,Meghalaya,10,1,12,0.08333333333333333,0.8333333333333334
1792,10/05/20,Meghalaya,10,1,13,0.07692307692307693,0.7692307692307693
1825,11/05/20,Meghalaya,10,1,13,0.07692307692307693,0.7692307692307693
1858,12/05/20,Meghalaya,10,1,13,0.07692307692307693,0.7692307692307693
1891,13/05/20,Meghalaya,10,1,13,0.07692307692307693,0.7692307692307693
1924,14/05/20,Meghalaya,10,1,13,0.07692307692307693,0.7692307692307693
1957,15/05/20,Meghalaya,11,1,13,0.07692307692307693,0.8461538461538461
1990,16/05/20,Meghalaya,11,1,13,0.07692307692307693,0.8461538461538461
2023,17/05/20,Meghalaya,11,1,13,0.07692307692307693,0.8461538461538461
2056,18/05/20,Meghalaya,11,1,13,0.07692307692307693,0.8461538461538461
2089,19/05/20,Meghalaya,11,1,13,0.07692307692307693,0.8461538461538461
2122,20/05/20,Meghalaya,12,1,13,0.07692307692307693,0.9230769230769231
2156,21/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2190,22/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2224,23/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2258,24/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2293,25/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2328,26/05/20,Meghalaya,12,1,14,0.07142857142857142,0.8571428571428571
2364,27/05/20,Meghalaya,12,1,15,0.06666666666666667,0.8
2400,28/05/20,Meghalaya,12,1,20,0.05,0.6
2436,29/05/20,Meghalaya,12,1,21,0.047619047619047616,0.5714285714285714
2472,30/05/20,Meghalaya,12,1,27,0.037037037037037035,0.4444444444444444
2508,31/05/20,Meghalaya,12,1,27,0.037037037037037035,0.4444444444444444
2544,01/06/20,Meghalaya,12,1,27,0.037037037037037035,0.4444444444444444
2580,02/06/20,Meghalaya,12,1,27,0.037037037037037035,0.4444444444444444
2616,03/06/20,Meghalaya,12,1,27,0.037037037037037035,0.4444444444444444
2652,04/06/20,Meghalaya,13,1,33,0.030303030303030304,0.3939393939393939
2688,05/06/20,Meghalaya,13,1,33,0.030303030303030304,0.3939393939393939
