Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
200,18/03/20,Puducherry,0,0,1,0.0,0.0
218,19/03/20,Puducherry,0,0,1,0.0,0.0
238,20/03/20,Puducherry,0,0,1,0.0,0.0
260,21/03/20,Puducherry,0,0,1,0.0,0.0
283,22/03/20,Puducherry,0,0,1,0.0,0.0
306,23/03/20,Puducherry,0,0,1,0.0,0.0
330,24/03/20,Puducherry,0,0,1,0.0,0.0
355,25/03/20,Puducherry,0,0,1,0.0,0.0
385,26/03/20,Puducherry,0,0,1,0.0,0.0
412,27/03/20,Puducherry,0,0,1,0.0,0.0
439,28/03/20,Puducherry,0,0,1,0.0,0.0
466,29/03/20,Puducherry,0,0,1,0.0,0.0
493,30/03/20,Puducherry,0,0,1,0.0,0.0
521,31/03/20,Puducherry,0,0,1,0.0,0.0
551,01/04/20,Puducherry,1,0,3,0.0,0.3333333333333333
580,02/04/20,Puducherry,1,0,3,0.0,0.3333333333333333
610,03/04/20,Puducherry,1,0,5,0.0,0.2
641,04/04/20,Puducherry,1,0,5,0.0,0.2
671,05/04/20,Puducherry,1,0,5,0.0,0.2
701,06/04/20,Puducherry,1,0,5,0.0,0.2
731,07/04/20,Puducherry,1,0,5,0.0,0.2
762,08/04/20,Puducherry,1,0,5,0.0,0.2
793,09/04/20,Puducherry,1,0,5,0.0,0.2
824,10/04/20,Puducherry,1,0,5,0.0,0.2
855,11/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
886,12/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
918,13/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
951,14/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
984,15/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
1017,16/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
1050,17/04/20,Puducherry,1,0,7,0.0,0.14285714285714285
1083,18/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1116,19/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1149,20/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1182,21/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1214,22/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1246,23/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1278,24/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1310,25/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1342,26/04/20,Puducherry,3,0,7,0.0,0.42857142857142855
1374,27/04/20,Puducherry,3,0,8,0.0,0.375
1406,28/04/20,Puducherry,3,0,8,0.0,0.375
1438,29/04/20,Puducherry,3,0,8,0.0,0.375
1470,30/04/20,Puducherry,5,0,8,0.0,0.625
1502,01/05/20,Puducherry,5,0,8,0.0,0.625
1534,02/05/20,Puducherry,5,0,8,0.0,0.625
1566,03/05/20,Puducherry,5,0,8,0.0,0.625
1598,04/05/20,Puducherry,5,0,8,0.0,0.625
1630,05/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1663,06/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1696,07/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1729,08/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1762,09/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1795,10/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1828,11/05/20,Puducherry,6,0,9,0.0,0.6666666666666666
1861,12/05/20,Puducherry,6,0,12,0.0,0.5
1894,13/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
1927,14/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
1960,15/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
1993,16/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
2026,17/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
2059,18/05/20,Puducherry,9,1,13,0.07692307692307693,0.6923076923076923
2092,19/05/20,Puducherry,9,1,18,0.05555555555555555,0.5
2125,20/05/20,Puducherry,9,1,18,0.05555555555555555,0.5
2159,21/05/20,Puducherry,9,0,18,0.0,0.5
2193,22/05/20,Puducherry,10,0,20,0.0,0.5
2227,23/05/20,Puducherry,10,0,26,0.0,0.38461538461538464
2261,24/05/20,Puducherry,10,0,26,0.0,0.38461538461538464
2296,25/05/20,Puducherry,12,0,41,0.0,0.2926829268292683
2332,26/05/20,Puducherry,12,0,41,0.0,0.2926829268292683
2368,27/05/20,Puducherry,12,0,46,0.0,0.2608695652173913
2404,28/05/20,Puducherry,12,0,46,0.0,0.2608695652173913
2440,29/05/20,Puducherry,14,0,51,0.0,0.27450980392156865
2476,30/05/20,Puducherry,14,0,51,0.0,0.27450980392156865
2512,31/05/20,Puducherry,14,0,51,0.0,0.27450980392156865
2548,01/06/20,Puducherry,25,0,70,0.0,0.35714285714285715
2584,02/06/20,Puducherry,25,0,74,0.0,0.33783783783783783
2620,03/06/20,Puducherry,25,0,82,0.0,0.3048780487804878
2656,04/06/20,Puducherry,25,0,82,0.0,0.3048780487804878
2692,05/06/20,Puducherry,25,0,82,0.0,0.3048780487804878
