Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
78,09/03/20,Punjab,0,0,1,0.0,0.0
93,10/03/20,Punjab,0,0,1,0.0,0.0
108,11/03/20,Punjab,0,0,1,0.0,0.0
119,12/03/20,Punjab,0,0,1,0.0,0.0
132,13/03/20,Punjab,0,0,1,0.0,0.0
145,14/03/20,Punjab,0,0,1,0.0,0.0
155,15/03/20,Punjab,0,0,1,0.0,0.0
170,16/03/20,Punjab,0,0,1,0.0,0.0
185,17/03/20,Punjab,0,0,1,0.0,0.0
201,18/03/20,Punjab,0,0,1,0.0,0.0
219,19/03/20,Punjab,0,1,2,0.5,0.0
239,20/03/20,Punjab,0,1,2,0.5,0.0
261,21/03/20,Punjab,0,1,13,0.07692307692307693,0.0
284,22/03/20,Punjab,0,1,21,0.047619047619047616,0.0
307,23/03/20,Punjab,0,1,21,0.047619047619047616,0.0
331,24/03/20,Punjab,0,1,29,0.034482758620689655,0.0
356,25/03/20,Punjab,0,1,29,0.034482758620689655,0.0
386,26/03/20,Punjab,0,1,33,0.030303030303030304,0.0
413,27/03/20,Punjab,0,1,33,0.030303030303030304,0.0
440,28/03/20,Punjab,1,1,38,0.02631578947368421,0.02631578947368421
467,29/03/20,Punjab,1,1,38,0.02631578947368421,0.02631578947368421
494,30/03/20,Punjab,1,1,38,0.02631578947368421,0.02631578947368421
522,31/03/20,Punjab,1,3,41,0.07317073170731707,0.024390243902439025
552,01/04/20,Punjab,1,3,42,0.07142857142857142,0.023809523809523808
581,02/04/20,Punjab,1,4,46,0.08695652173913043,0.021739130434782608
611,03/04/20,Punjab,1,5,48,0.10416666666666667,0.020833333333333332
642,04/04/20,Punjab,1,5,57,0.08771929824561403,0.017543859649122806
672,05/04/20,Punjab,1,5,57,0.08771929824561403,0.017543859649122806
702,06/04/20,Punjab,4,6,76,0.07894736842105263,0.05263157894736842
732,07/04/20,Punjab,4,7,91,0.07692307692307693,0.04395604395604396
763,08/04/20,Punjab,4,7,91,0.07692307692307693,0.04395604395604396
794,09/04/20,Punjab,4,8,101,0.07920792079207921,0.039603960396039604
825,10/04/20,Punjab,5,11,132,0.08333333333333333,0.03787878787878788
856,11/04/20,Punjab,5,11,132,0.08333333333333333,0.03787878787878788
