Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
37,03/03/20,Rajasthan,0,0,1,0.0,0.0
45,04/03/20,Rajasthan,0,0,15,0.0,0.0
49,05/03/20,Rajasthan,0,0,15,0.0,0.0
55,06/03/20,Rajasthan,0,0,15,0.0,0.0
65,07/03/20,Rajasthan,0,0,15,0.0,0.0
69,08/03/20,Rajasthan,0,0,15,0.0,0.0
79,09/03/20,Rajasthan,0,0,15,0.0,0.0
94,10/03/20,Rajasthan,0,0,15,0.0,0.0
102,11/03/20,Rajasthan,0,0,3,0.0,0.0
113,12/03/20,Rajasthan,0,0,3,0.0,0.0
126,13/03/20,Rajasthan,0,0,3,0.0,0.0
139,14/03/20,Rajasthan,1,0,3,0.0,0.3333333333333333
156,15/03/20,Rajasthan,3,0,4,0.0,0.75
171,16/03/20,Rajasthan,3,0,4,0.0,0.75
186,17/03/20,Rajasthan,3,0,4,0.0,0.75
202,18/03/20,Rajasthan,3,0,4,0.0,0.75
220,19/03/20,Rajasthan,3,0,7,0.0,0.42857142857142855
240,20/03/20,Rajasthan,3,0,17,0.0,0.17647058823529413
262,21/03/20,Rajasthan,3,0,17,0.0,0.17647058823529413
285,22/03/20,Rajasthan,3,0,24,0.0,0.125
308,23/03/20,Rajasthan,3,0,28,0.0,0.10714285714285714
332,24/03/20,Rajasthan,3,0,32,0.0,0.09375
357,25/03/20,Rajasthan,3,0,36,0.0,0.08333333333333333
387,26/03/20,Rajasthan,3,0,41,0.0,0.07317073170731707
414,27/03/20,Rajasthan,3,0,41,0.0,0.07317073170731707
441,28/03/20,Rajasthan,3,0,54,0.0,0.05555555555555555
468,29/03/20,Rajasthan,3,0,55,0.0,0.05454545454545454
495,30/03/20,Rajasthan,3,0,59,0.0,0.05084745762711865
523,31/03/20,Rajasthan,3,0,74,0.0,0.04054054054054054
553,01/04/20,Rajasthan,3,0,93,0.0,0.03225806451612903
582,02/04/20,Rajasthan,3,0,108,0.0,0.027777777777777776
612,03/04/20,Rajasthan,3,0,167,0.0,0.017964071856287425
643,04/04/20,Rajasthan,21,0,200,0.0,0.105
673,05/04/20,Rajasthan,21,0,200,0.0,0.105
703,06/04/20,Rajasthan,21,0,274,0.0,0.07664233576642336
733,07/04/20,Rajasthan,21,3,288,0.010416666666666666,0.07291666666666667
764,08/04/20,Rajasthan,21,3,328,0.009146341463414634,0.06402439024390244
795,09/04/20,Rajasthan,21,3,383,0.007832898172323759,0.05483028720626632
826,10/04/20,Rajasthan,21,3,463,0.0064794816414686825,0.04535637149028078
857,11/04/20,Rajasthan,21,3,553,0.0054249547920434,0.0379746835443038
888,12/04/20,Rajasthan,21,3,700,0.004285714285714286,0.03
920,13/04/20,Rajasthan,21,3,812,0.003694581280788177,0.02586206896551724
953,14/04/20,Rajasthan,133,3,879,0.0034129692832764505,0.15130830489192265
986,15/04/20,Rajasthan,147,3,1005,0.0029850746268656717,0.14626865671641792
1019,16/04/20,Rajasthan,147,3,1023,0.002932551319648094,0.1436950146627566
1052,17/04/20,Rajasthan,164,11,1131,0.009725906277630416,0.14500442086648982
1085,18/04/20,Rajasthan,183,11,1229,0.008950366151342554,0.14890154597233524
1118,19/04/20,Rajasthan,183,11,1351,0.008142116950407105,0.13545521835677277
1151,20/04/20,Rajasthan,183,14,1478,0.009472259810554804,0.12381596752368065
1184,21/04/20,Rajasthan,205,25,1576,0.015862944162436547,0.13007614213197968
1216,22/04/20,Rajasthan,230,25,1801,0.0138811771238201,0.12770682953914492
1248,23/04/20,Rajasthan,230,27,1890,0.014285714285714285,0.12169312169312169
1280,24/04/20,Rajasthan,230,27,1964,0.01374745417515275,0.11710794297352342
