Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
2264,24/05/20,Sikkim,0,0,1,0.0,0.0
2299,25/05/20,Sikkim,0,0,1,0.0,0.0
2335,26/05/20,Sikkim,0,0,1,0.0,0.0
2371,27/05/20,Sikkim,0,0,1,0.0,0.0
2407,28/05/20,Sikkim,0,0,1,0.0,0.0
2443,29/05/20,Sikkim,0,0,1,0.0,0.0
2479,30/05/20,Sikkim,0,0,1,0.0,0.0
2515,31/05/20,Sikkim,0,0,1,0.0,0.0
2551,01/06/20,Sikkim,0,0,1,0.0,0.0
2587,02/06/20,Sikkim,0,0,1,0.0,0.0
2623,03/06/20,Sikkim,0,0,1,0.0,0.0
2659,04/06/20,Sikkim,0,0,2,0.0,0.0
2695,05/06/20,Sikkim,0,0,2,0.0,0.0
