Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
62,07/03/20,Tamil Nadu,0,0,1,0.0,0.0
68,08/03/20,Tamil Nadu,0,0,1,0.0,0.0
80,09/03/20,Tamil Nadu,0,0,1,0.0,0.0
95,10/03/20,Tamil Nadu,0,0,1,0.0,0.0
106,11/03/20,Tamil Nadu,0,0,1,0.0,0.0
117,12/03/20,Tamil Nadu,0,0,1,0.0,0.0
130,13/03/20,Tamil Nadu,0,0,1,0.0,0.0
143,14/03/20,Tamil Nadu,0,0,1,0.0,0.0
157,15/03/20,Tamil Nadu,0,0,1,0.0,0.0
172,16/03/20,Tamil Nadu,0,0,1,0.0,0.0
187,17/03/20,Tamil Nadu,0,0,1,0.0,0.0
203,18/03/20,Tamil Nadu,0,0,1,0.0,0.0
221,19/03/20,Tamil Nadu,1,0,2,0.0,0.5
241,20/03/20,Tamil Nadu,1,0,3,0.0,0.3333333333333333
263,21/03/20,Tamil Nadu,1,0,3,0.0,0.3333333333333333
286,22/03/20,Tamil Nadu,1,0,7,0.0,0.14285714285714285
309,23/03/20,Tamil Nadu,1,0,9,0.0,0.1111111111111111
333,24/03/20,Tamil Nadu,1,0,15,0.0,0.06666666666666667
358,25/03/20,Tamil Nadu,1,0,18,0.0,0.05555555555555555
388,26/03/20,Tamil Nadu,1,1,26,0.038461538461538464,0.038461538461538464
415,27/03/20,Tamil Nadu,1,1,29,0.034482758620689655,0.034482758620689655
442,28/03/20,Tamil Nadu,2,1,40,0.025,0.05
469,29/03/20,Tamil Nadu,4,1,49,0.02040816326530612,0.08163265306122448
496,30/03/20,Tamil Nadu,4,1,67,0.014925373134328358,0.05970149253731343
524,31/03/20,Tamil Nadu,4,1,74,0.013513513513513514,0.05405405405405406
554,01/04/20,Tamil Nadu,6,1,234,0.004273504273504274,0.02564102564102564
583,02/04/20,Tamil Nadu,6,1,234,0.004273504273504274,0.02564102564102564
613,03/04/20,Tamil Nadu,6,1,309,0.003236245954692557,0.019417475728155338
644,04/04/20,Tamil Nadu,6,2,411,0.004866180048661801,0.014598540145985401
674,05/04/20,Tamil Nadu,6,3,485,0.006185567010309278,0.012371134020618556
704,06/04/20,Tamil Nadu,8,5,571,0.008756567425569177,0.014010507880910683
734,07/04/20,Tamil Nadu,8,5,621,0.008051529790660225,0.01288244766505636
765,08/04/20,Tamil Nadu,19,7,690,0.010144927536231883,0.02753623188405797
796,09/04/20,Tamil Nadu,21,8,738,0.01084010840108401,0.028455284552845527
827,10/04/20,Tamil Nadu,21,8,834,0.009592326139088728,0.025179856115107913
858,11/04/20,Tamil Nadu,44,8,911,0.008781558726673985,0.048298572996706916
889,12/04/20,Tamil Nadu,44,10,969,0.010319917440660475,0.04540763673890609
921,13/04/20,Tamil Nadu,50,11,1075,0.010232558139534883,0.046511627906976744
954,14/04/20,Tamil Nadu,58,11,1173,0.00937766410912191,0.0494458653026428
987,15/04/20,Tamil Nadu,81,12,1204,0.009966777408637873,0.06727574750830564
1020,16/04/20,Tamil Nadu,118,14,1242,0.011272141706924315,0.09500805152979067
1053,17/04/20,Tamil Nadu,180,15,1267,0.011838989739542225,0.1420678768745067
1086,18/04/20,Tamil Nadu,283,15,1323,0.011337868480725623,0.21390778533635676
1119,19/04/20,Tamil Nadu,365,15,1372,0.010932944606413994,0.2660349854227405
1152,20/04/20,Tamil Nadu,411,15,1477,0.010155721056194989,0.27826675693974273
1185,21/04/20,Tamil Nadu,457,17,1520,0.01118421052631579,0.3006578947368421
1217,22/04/20,Tamil Nadu,635,18,1596,0.011278195488721804,0.39786967418546365
1249,23/04/20,Tamil Nadu,662,18,1629,0.011049723756906077,0.40638428483732353
1281,24/04/20,Tamil Nadu,752,20,1683,0.011883541295306001,0.44682115270350564
1313,25/04/20,Tamil Nadu,866,22,1755,0.012535612535612535,0.49344729344729343
1345,26/04/20,Tamil Nadu,960,23,1821,0.012630422844590884,0.5271828665568369
1377,27/04/20,Tamil Nadu,1020,24,1885,0.01273209549071618,0.5411140583554377
1409,28/04/20,Tamil Nadu,1101,24,1937,0.0123902942694889,0.5684047496128033
1441,29/04/20,Tamil Nadu,1168,25,2058,0.012147716229348883,0.5675413022351797
1473,30/04/20,Tamil Nadu,1210,27,2162,0.012488436632747455,0.5596669750231268
1505,01/05/20,Tamil Nadu,1258,27,2323,0.01162290142057684,0.5415411106328024
1537,02/05/20,Tamil Nadu,1312,28,2526,0.011084718923198733,0.5193982581155978
1569,03/05/20,Tamil Nadu,1341,29,2757,0.01051867972433805,0.48639825897714906
1601,04/05/20,Tamil Nadu,1379,30,3023,0.00992391663910023,0.4561693681773073
1633,05/05/20,Tamil Nadu,1409,31,3550,0.008732394366197183,0.3969014084507042
1666,06/05/20,Tamil Nadu,1485,33,4058,0.008132084770823066,0.36594381468703796
1699,07/05/20,Tamil Nadu,1516,35,4829,0.007247877407330711,0.31393663284323875
1732,08/05/20,Tamil Nadu,1547,37,5409,0.006840451100018487,0.2860048068034757
1765,09/05/20,Tamil Nadu,1605,40,6009,0.006656681644200366,0.2670993509735397
1798,10/05/20,Tamil Nadu,1824,44,6535,0.006732976281560827,0.2791124713083397
1831,11/05/20,Tamil Nadu,1959,47,7204,0.006524153248195447,0.27193225985563574
1864,12/05/20,Tamil Nadu,2051,53,8002,0.00662334416395901,0.25631092226943264
1897,13/05/20,Tamil Nadu,2134,61,8718,0.006997017664601973,0.24478091305345262
1930,14/05/20,Tamil Nadu,2176,64,9227,0.006936165600953723,0.23582963043242658
1963,15/05/20,Tamil Nadu,2240,66,9674,0.006822410585073393,0.23154848046309695
1996,16/05/20,Tamil Nadu,2599,71,10108,0.00702413929560744,0.2571230708349822
2029,17/05/20,Tamil Nadu,3538,74,10585,0.006991025035427491,0.33424657534246577
2062,18/05/20,Tamil Nadu,4172,78,11224,0.006949394155381326,0.37170349251603707
2095,19/05/20,Tamil Nadu,4406,81,11760,0.0068877551020408165,0.3746598639455782
2128,20/05/20,Tamil Nadu,4895,84,12448,0.006748071979434447,0.3932358611825193
2162,21/05/20,Tamil Nadu,5882,87,13191,0.006595405958608142,0.445910090213024
2196,22/05/20,Tamil Nadu,6282,94,13967,0.006730149638433451,0.4497744683897759
2230,23/05/20,Tamil Nadu,7128,98,14753,0.006642716735579204,0.48315596827763846
2265,24/05/20,Tamil Nadu,7491,103,15512,0.006640020629190304,0.4829164517792677
2300,25/05/20,Tamil Nadu,8324,111,16277,0.0068194384714628,0.5113964489770843
2336,26/05/20,Tamil Nadu,8731,118,17082,0.006907856222924716,0.5111228193419974
2372,27/05/20,Tamil Nadu,9342,127,17728,0.007163808664259928,0.5269629963898917
2408,28/05/20,Tamil Nadu,9909,133,18545,0.007171744405500135,0.5343219196548935
2444,29/05/20,Tamil Nadu,10548,145,19372,0.0074850299401197605,0.5444972124716085
2480,30/05/20,Tamil Nadu,11313,154,20246,0.007606440778425368,0.5587770423787415
2516,31/05/20,Tamil Nadu,12000,160,21184,0.0075528700906344415,0.5664652567975831
2552,01/06/20,Tamil Nadu,12757,173,22333,0.007746384274392155,0.5712174808579232
2588,02/06/20,Tamil Nadu,13170,184,23495,0.00783145350074484,0.5605447967652692
2624,03/06/20,Tamil Nadu,13706,197,24586,0.008012690148865208,0.5574717318799317
2660,04/06/20,Tamil Nadu,14316,208,25872,0.008039579468150896,0.5533395176252319
2696,05/06/20,Tamil Nadu,14902,220,27256,0.008071617258585266,0.5467420017610801
