Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
736,07/04/20,Tripura,0,0,1,0.0,0.0
767,08/04/20,Tripura,0,0,1,0.0,0.0
798,09/04/20,Tripura,0,0,1,0.0,0.0
829,10/04/20,Tripura,0,0,1,0.0,0.0
860,11/04/20,Tripura,0,0,2,0.0,0.0
891,12/04/20,Tripura,0,0,2,0.0,0.0
923,13/04/20,Tripura,0,0,2,0.0,0.0
956,14/04/20,Tripura,0,0,2,0.0,0.0
989,15/04/20,Tripura,0,0,2,0.0,0.0
1022,16/04/20,Tripura,1,0,2,0.0,0.5
1055,17/04/20,Tripura,1,0,2,0.0,0.5
1088,18/04/20,Tripura,1,0,2,0.0,0.5
1121,19/04/20,Tripura,1,0,2,0.0,0.5
1154,20/04/20,Tripura,1,0,2,0.0,0.5
1187,21/04/20,Tripura,1,0,2,0.0,0.5
1219,22/04/20,Tripura,1,0,2,0.0,0.5
1251,23/04/20,Tripura,1,0,2,0.0,0.5
1283,24/04/20,Tripura,1,0,2,0.0,0.5
1315,25/04/20,Tripura,1,0,2,0.0,0.5
1347,26/04/20,Tripura,2,0,2,0.0,1.0
1379,27/04/20,Tripura,2,0,2,0.0,1.0
1411,28/04/20,Tripura,2,0,2,0.0,1.0
1443,29/04/20,Tripura,2,0,2,0.0,1.0
1475,30/04/20,Tripura,2,0,2,0.0,1.0
1507,01/05/20,Tripura,2,0,2,0.0,1.0
1539,02/05/20,Tripura,2,0,2,0.0,1.0
1571,03/05/20,Tripura,2,0,4,0.0,0.5
1603,04/05/20,Tripura,2,0,16,0.0,0.125
1635,05/05/20,Tripura,2,0,29,0.0,0.06896551724137931
1668,06/05/20,Tripura,2,0,43,0.0,0.046511627906976744
1701,07/05/20,Tripura,2,0,43,0.0,0.046511627906976744
1734,08/05/20,Tripura,2,0,65,0.0,0.03076923076923077
1767,09/05/20,Tripura,2,0,118,0.0,0.01694915254237288
1800,10/05/20,Tripura,2,0,134,0.0,0.014925373134328358
1833,11/05/20,Tripura,2,0,150,0.0,0.013333333333333334
1866,12/05/20,Tripura,2,0,152,0.0,0.013157894736842105
1899,13/05/20,Tripura,2,0,154,0.0,0.012987012987012988
1932,14/05/20,Tripura,16,0,155,0.0,0.1032258064516129
1965,15/05/20,Tripura,29,0,156,0.0,0.1858974358974359
1998,16/05/20,Tripura,42,0,156,0.0,0.2692307692307692
2031,17/05/20,Tripura,64,0,167,0.0,0.38323353293413176
2064,18/05/20,Tripura,85,0,167,0.0,0.5089820359281437
2097,19/05/20,Tripura,85,0,167,0.0,0.5089820359281437
2130,20/05/20,Tripura,116,0,173,0.0,0.6705202312138728
2164,21/05/20,Tripura,133,0,173,0.0,0.7687861271676301
2198,22/05/20,Tripura,148,0,173,0.0,0.8554913294797688
2232,23/05/20,Tripura,152,0,175,0.0,0.8685714285714285
2267,24/05/20,Tripura,153,0,189,0.0,0.8095238095238095
2302,25/05/20,Tripura,165,0,191,0.0,0.8638743455497382
2338,26/05/20,Tripura,165,0,194,0.0,0.8505154639175257
2374,27/05/20,Tripura,165,0,207,0.0,0.7971014492753623
2410,28/05/20,Tripura,165,0,230,0.0,0.717391304347826
2446,29/05/20,Tripura,167,0,242,0.0,0.6900826446280992
2482,30/05/20,Tripura,171,0,251,0.0,0.6812749003984063
2518,31/05/20,Tripura,172,0,268,0.0,0.6417910447761194
2554,01/06/20,Tripura,173,0,313,0.0,0.5527156549520766
2590,02/06/20,Tripura,173,0,420,0.0,0.4119047619047619
2626,03/06/20,Tripura,173,0,468,0.0,0.3696581196581197
2662,04/06/20,Tripura,173,0,468,0.0,0.3696581196581197
2698,05/06/20,Tripura,173,0,644,0.0,0.2686335403726708
