Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
40,04/03/20,Uttar Pradesh,0,0,6,0.0,0.0
51,05/03/20,Uttar Pradesh,0,0,7,0.0,0.0
56,06/03/20,Uttar Pradesh,0,0,7,0.0,0.0
59,07/03/20,Uttar Pradesh,0,0,7,0.0,0.0
73,08/03/20,Uttar Pradesh,0,0,7,0.0,0.0
83,09/03/20,Uttar Pradesh,0,0,7,0.0,0.0
86,10/03/20,Uttar Pradesh,0,0,7,0.0,0.0
104,11/03/20,Uttar Pradesh,0,0,9,0.0,0.0
115,12/03/20,Uttar Pradesh,0,0,11,0.0,0.0
128,13/03/20,Uttar Pradesh,0,0,11,0.0,0.0
141,14/03/20,Uttar Pradesh,5,0,12,0.0,0.4166666666666667
161,15/03/20,Uttar Pradesh,4,0,13,0.0,0.3076923076923077
176,16/03/20,Uttar Pradesh,4,0,13,0.0,0.3076923076923077
191,17/03/20,Uttar Pradesh,5,0,15,0.0,0.3333333333333333
207,18/03/20,Uttar Pradesh,5,0,16,0.0,0.3125
226,19/03/20,Uttar Pradesh,9,0,19,0.0,0.47368421052631576
246,20/03/20,Uttar Pradesh,9,0,23,0.0,0.391304347826087
268,21/03/20,Uttar Pradesh,9,0,24,0.0,0.375
291,22/03/20,Uttar Pradesh,9,0,27,0.0,0.3333333333333333
314,23/03/20,Uttar Pradesh,9,0,31,0.0,0.2903225806451613
338,24/03/20,Uttar Pradesh,11,0,33,0.0,0.3333333333333333
363,25/03/20,Uttar Pradesh,11,0,37,0.0,0.2972972972972973
391,26/03/20,Uttar Pradesh,11,0,41,0.0,0.2682926829268293
418,27/03/20,Uttar Pradesh,11,0,41,0.0,0.2682926829268293
445,28/03/20,Uttar Pradesh,11,0,55,0.0,0.2
472,29/03/20,Uttar Pradesh,11,0,65,0.0,0.16923076923076924
499,30/03/20,Uttar Pradesh,11,0,82,0.0,0.13414634146341464
527,31/03/20,Uttar Pradesh,14,0,101,0.0,0.13861386138613863
557,01/04/20,Uttar Pradesh,14,2,103,0.019417475728155338,0.13592233009708737
586,02/04/20,Uttar Pradesh,14,2,113,0.017699115044247787,0.12389380530973451
616,03/04/20,Uttar Pradesh,14,2,172,0.011627906976744186,0.08139534883720931
647,04/04/20,Uttar Pradesh,19,2,174,0.011494252873563218,0.10919540229885058
677,05/04/20,Uttar Pradesh,19,2,227,0.00881057268722467,0.08370044052863436
707,06/04/20,Uttar Pradesh,21,3,305,0.009836065573770493,0.06885245901639345
738,07/04/20,Uttar Pradesh,21,3,305,0.009836065573770493,0.06885245901639345
769,08/04/20,Uttar Pradesh,26,3,343,0.008746355685131196,0.07580174927113703
800,09/04/20,Uttar Pradesh,31,4,410,0.00975609756097561,0.07560975609756097
831,10/04/20,Uttar Pradesh,32,4,431,0.009280742459396751,0.07424593967517401
862,11/04/20,Uttar Pradesh,32,4,433,0.009237875288683603,0.07390300230946882
893,12/04/20,Uttar Pradesh,45,5,452,0.011061946902654867,0.09955752212389381
925,13/04/20,Uttar Pradesh,47,5,483,0.010351966873706004,0.09730848861283643
958,14/04/20,Uttar Pradesh,49,5,657,0.0076103500761035,0.0745814307458143
991,15/04/20,Uttar Pradesh,51,11,735,0.014965986394557823,0.06938775510204082
1024,16/04/20,Uttar Pradesh,68,13,773,0.016817593790426907,0.08796895213454076
1057,17/04/20,Uttar Pradesh,74,14,846,0.016548463356973995,0.08747044917257683
1090,18/04/20,Uttar Pradesh,86,14,969,0.014447884416924664,0.08875128998968008
1123,19/04/20,Uttar Pradesh,108,17,1084,0.015682656826568265,0.0996309963099631
1156,20/04/20,Uttar Pradesh,129,17,1176,0.01445578231292517,0.1096938775510204
1189,21/04/20,Uttar Pradesh,140,20,1294,0.015455950540958269,0.10819165378670788
1221,22/04/20,Uttar Pradesh,165,21,1412,0.014872521246458924,0.11685552407932011
1253,23/04/20,Uttar Pradesh,187,21,1509,0.013916500994035786,0.12392312789927104
1285,24/04/20,Uttar Pradesh,206,24,1604,0.014962593516209476,0.128428927680798
1317,25/04/20,Uttar Pradesh,248,26,1778,0.014623172103487065,0.13948256467941508
1349,26/04/20,Uttar Pradesh,289,29,1843,0.015735214324470972,0.15680954964731417
1381,27/04/20,Uttar Pradesh,335,31,1955,0.015856777493606138,0.17135549872122763
1413,28/04/20,Uttar Pradesh,400,31,2043,0.015173764072442487,0.19579050416054822
1445,29/04/20,Uttar Pradesh,477,36,2115,0.01702127659574468,0.225531914893617
1477,30/04/20,Uttar Pradesh,513,39,2203,0.017703132092601,0.23286427598729006
1509,01/05/20,Uttar Pradesh,555,41,2281,0.01797457255589654,0.24331433581762385
1541,02/05/20,Uttar Pradesh,654,42,2328,0.01804123711340206,0.2809278350515464
1573,03/05/20,Uttar Pradesh,698,43,2626,0.016374714394516376,0.26580350342726583
1605,04/05/20,Uttar Pradesh,758,45,2742,0.016411378555798686,0.2764405543398979
1637,05/05/20,Uttar Pradesh,944,53,2859,0.018537950332284014,0.33018537950332283
1670,06/05/20,Uttar Pradesh,987,56,2880,0.019444444444444445,0.34270833333333334
1703,07/05/20,Uttar Pradesh,1130,60,2998,0.0200133422281521,0.37691794529686456
1736,08/05/20,Uttar Pradesh,1250,62,3071,0.020188863562357537,0.40703353956366006
1769,09/05/20,Uttar Pradesh,1387,66,3214,0.020535158680771624,0.4315494710640946
1802,10/05/20,Uttar Pradesh,1499,74,3373,0.021938926771420102,0.44441150311295585
1835,11/05/20,Uttar Pradesh,1653,74,3467,0.021344101528699165,0.4767810787424286
1868,12/05/20,Uttar Pradesh,1758,80,3573,0.02239014833473272,0.4920235096557515
1901,13/05/20,Uttar Pradesh,1873,82,3664,0.02237991266375546,0.5111899563318777
1934,14/05/20,Uttar Pradesh,1902,83,3729,0.0222579780101904,0.5100563153660499
1967,15/05/20,Uttar Pradesh,2072,88,3902,0.02255253716043055,0.531009738595592
2000,16/05/20,Uttar Pradesh,2165,95,4057,0.023416317475967462,0.5336455508996796
2033,17/05/20,Uttar Pradesh,2441,104,4258,0.024424612494128698,0.5732738374823861
2066,18/05/20,Uttar Pradesh,2441,104,4259,0.024418877670814746,0.5731392345621038
2099,19/05/20,Uttar Pradesh,2783,118,4605,0.025624321389793703,0.604343105320304
2132,20/05/20,Uttar Pradesh,2918,123,4926,0.024969549330085262,0.5923670320747056
2166,21/05/20,Uttar Pradesh,3066,127,5175,0.024541062801932367,0.592463768115942
2200,22/05/20,Uttar Pradesh,3204,138,5515,0.02502266545784225,0.5809610154125113
2234,23/05/20,Uttar Pradesh,3238,152,5735,0.026503923278116827,0.5646033129904098
2269,24/05/20,Uttar Pradesh,3406,155,6017,0.025760345687219546,0.5660628220043211
2304,25/05/20,Uttar Pradesh,3538,161,6268,0.02568602425015954,0.5644543714103383
2340,26/05/20,Uttar Pradesh,3581,165,6532,0.02526025719534599,0.5482241273729332
2376,27/05/20,Uttar Pradesh,3698,170,6548,0.02596212583995113,0.564752596212584
2412,28/05/20,Uttar Pradesh,3991,182,6991,0.026033471606351024,0.5708768416535546
2448,29/05/20,Uttar Pradesh,4215,197,7170,0.027475592747559275,0.5878661087866108
2484,30/05/20,Uttar Pradesh,4244,198,7284,0.027182866556836903,0.5826468973091707
2520,31/05/20,Uttar Pradesh,4410,201,7445,0.02699798522498321,0.5923438549361988
2556,01/06/20,Uttar Pradesh,4709,213,7823,0.027227406365844305,0.6019429886232903
2592,02/06/20,Uttar Pradesh,4843,217,8075,0.026873065015479876,0.5997523219814241
2628,03/06/20,Uttar Pradesh,5030,222,8361,0.026551847865087908,0.6016026791053701
2664,04/06/20,Uttar Pradesh,5176,229,8729,0.026234391110092795,0.5929659754840187
2700,05/06/20,Uttar Pradesh,5439,245,9237,0.02652376312655624,0.5888275414095485
