Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
162,15/03/20,Uttarakhand,0,0,1,0.0,0.0
177,16/03/20,Uttarakhand,0,0,1,0.0,0.0
192,17/03/20,Uttarakhand,0,0,1,0.0,0.0
208,18/03/20,Uttarakhand,0,0,1,0.0,0.0
227,19/03/20,Uttarakhand,0,0,1,0.0,0.0
247,20/03/20,Uttarakhand,0,0,3,0.0,0.0
269,21/03/20,Uttarakhand,0,0,3,0.0,0.0
292,22/03/20,Uttarakhand,0,0,3,0.0,0.0
315,23/03/20,Uttarakhand,0,0,3,0.0,0.0
339,24/03/20,Uttarakhand,0,0,4,0.0,0.0
364,25/03/20,Uttarakhand,0,0,4,0.0,0.0
390,26/03/20,Uttarakhand,0,0,5,0.0,0.0
417,27/03/20,Uttarakhand,0,0,5,0.0,0.0
444,28/03/20,Uttarakhand,0,0,5,0.0,0.0
471,29/03/20,Uttarakhand,2,0,7,0.0,0.2857142857142857
498,30/03/20,Uttarakhand,2,0,7,0.0,0.2857142857142857
526,31/03/20,Uttarakhand,2,0,7,0.0,0.2857142857142857
556,01/04/20,Uttarakhand,2,0,7,0.0,0.2857142857142857
585,02/04/20,Uttarakhand,2,0,7,0.0,0.2857142857142857
615,03/04/20,Uttarakhand,2,0,10,0.0,0.2
646,04/04/20,Uttarakhand,2,0,16,0.0,0.125
676,05/04/20,Uttarakhand,2,0,22,0.0,0.09090909090909091
706,06/04/20,Uttarakhand,4,0,26,0.0,0.15384615384615385
737,07/04/20,Uttarakhand,5,0,31,0.0,0.16129032258064516
768,08/04/20,Uttarakhand,5,0,31,0.0,0.16129032258064516
799,09/04/20,Uttarakhand,5,0,35,0.0,0.14285714285714285
830,10/04/20,Uttarakhand,5,0,35,0.0,0.14285714285714285
861,11/04/20,Uttarakhand,5,0,35,0.0,0.14285714285714285
892,12/04/20,Uttarakhand,5,0,35,0.0,0.14285714285714285
924,13/04/20,Uttarakhand,5,0,35,0.0,0.14285714285714285
957,14/04/20,Uttarakhand,7,0,35,0.0,0.2
990,15/04/20,Uttarakhand,9,0,37,0.0,0.24324324324324326
1023,16/04/20,Uttarakhand,9,0,37,0.0,0.24324324324324326
1056,17/04/20,Uttarakhand,9,0,37,0.0,0.24324324324324326
1089,18/04/20,Uttarakhand,9,0,42,0.0,0.21428571428571427
1122,19/04/20,Uttarakhand,9,0,42,0.0,0.21428571428571427
1155,20/04/20,Uttarakhand,11,0,44,0.0,0.25
1188,21/04/20,Uttarakhand,18,0,46,0.0,0.391304347826087
1220,22/04/20,Uttarakhand,19,0,46,0.0,0.41304347826086957
1252,23/04/20,Uttarakhand,23,0,46,0.0,0.5
1284,24/04/20,Uttarakhand,24,0,47,0.0,0.5106382978723404
1316,25/04/20,Uttarakhand,25,0,48,0.0,0.5208333333333334
1348,26/04/20,Uttarakhand,26,0,50,0.0,0.52
1380,27/04/20,Uttarakhand,33,0,51,0.0,0.6470588235294118
1412,28/04/20,Uttarakhand,33,0,51,0.0,0.6470588235294118
1444,29/04/20,Uttarakhand,34,0,54,0.0,0.6296296296296297
1476,30/04/20,Uttarakhand,36,0,55,0.0,0.6545454545454545
1508,01/05/20,Uttarakhand,36,0,57,0.0,0.631578947368421
1540,02/05/20,Uttarakhand,36,0,58,0.0,0.6206896551724138
1572,03/05/20,Uttarakhand,39,0,59,0.0,0.6610169491525424
1604,04/05/20,Uttarakhand,39,1,60,0.016666666666666666,0.65
1636,05/05/20,Uttarakhand,39,1,60,0.016666666666666666,0.65
1669,06/05/20,Uttarakhand,39,1,61,0.01639344262295082,0.639344262295082
1702,07/05/20,Uttarakhand,39,1,61,0.01639344262295082,0.639344262295082
1735,08/05/20,Uttarakhand,39,1,61,0.01639344262295082,0.639344262295082
1768,09/05/20,Uttarakhand,46,1,63,0.015873015873015872,0.7301587301587301
1801,10/05/20,Uttarakhand,46,1,67,0.014925373134328358,0.6865671641791045
1834,11/05/20,Uttarakhand,46,1,68,0.014705882352941176,0.6764705882352942
1867,12/05/20,Uttarakhand,46,1,68,0.014705882352941176,0.6764705882352942
1900,13/05/20,Uttarakhand,46,1,69,0.014492753623188406,0.6666666666666666
1933,14/05/20,Uttarakhand,46,1,72,0.013888888888888888,0.6388888888888888
1966,15/05/20,Uttarakhand,50,1,78,0.01282051282051282,0.6410256410256411
1999,16/05/20,Uttarakhand,51,1,82,0.012195121951219513,0.6219512195121951
2032,17/05/20,Uttarakhand,51,1,88,0.011363636363636364,0.5795454545454546
2065,18/05/20,Uttarakhand,52,1,92,0.010869565217391304,0.5652173913043478
2098,19/05/20,Uttarakhand,52,1,93,0.010752688172043012,0.5591397849462365
2131,20/05/20,Uttarakhand,52,1,111,0.009009009009009009,0.46846846846846846
2165,21/05/20,Uttarakhand,53,1,122,0.00819672131147541,0.4344262295081967
2199,22/05/20,Uttarakhand,54,1,146,0.00684931506849315,0.3698630136986301
2233,23/05/20,Uttarakhand,56,1,153,0.006535947712418301,0.3660130718954248
2268,24/05/20,Uttarakhand,56,2,244,0.00819672131147541,0.22950819672131148
2303,25/05/20,Uttarakhand,58,3,317,0.00946372239747634,0.1829652996845426
2339,26/05/20,Uttarakhand,58,3,349,0.008595988538681949,0.166189111747851
2375,27/05/20,Uttarakhand,64,4,401,0.00997506234413965,0.1596009975062344
2411,28/05/20,Uttarakhand,79,4,469,0.008528784648187633,0.16844349680170576
2447,29/05/20,Uttarakhand,79,4,500,0.008,0.158
2483,30/05/20,Uttarakhand,102,5,716,0.006983240223463687,0.1424581005586592
2519,31/05/20,Uttarakhand,102,5,749,0.006675567423230975,0.13618157543391188
2555,01/06/20,Uttarakhand,102,5,907,0.005512679162072767,0.11245865490628446
2591,02/06/20,Uttarakhand,222,6,958,0.006263048016701462,0.23173277661795408
2627,03/06/20,Uttarakhand,252,7,1043,0.006711409395973154,0.24161073825503357
2663,04/06/20,Uttarakhand,282,8,1085,0.007373271889400922,0.25990783410138246
2699,05/06/20,Uttarakhand,297,10,1153,0.008673026886383347,0.2575888985255854
