Sno,Date,State/UnionTerritory,Cured,Deaths,Confirmed,mortal_rate,cured_rate
209,18/03/20,West Bengal,0,0,1,0.0,0.0
228,19/03/20,West Bengal,0,0,1,0.0,0.0
248,20/03/20,West Bengal,0,0,2,0.0,0.0
270,21/03/20,West Bengal,0,0,3,0.0,0.0
293,22/03/20,West Bengal,0,0,4,0.0,0.0
316,23/03/20,West Bengal,0,0,7,0.0,0.0
340,24/03/20,West Bengal,0,1,9,0.1111111111111111,0.0
365,25/03/20,West Bengal,0,1,9,0.1111111111111111,0.0
392,26/03/20,West Bengal,0,1,10,0.1,0.0
419,27/03/20,West Bengal,0,1,10,0.1,0.0
446,28/03/20,West Bengal,0,1,15,0.06666666666666667,0.0
473,29/03/20,West Bengal,0,1,18,0.05555555555555555,0.0
500,30/03/20,West Bengal,0,1,22,0.045454545454545456,0.0
528,31/03/20,West Bengal,0,2,26,0.07692307692307693,0.0
558,01/04/20,West Bengal,6,3,37,0.08108108108108109,0.16216216216216217
587,02/04/20,West Bengal,6,3,53,0.05660377358490566,0.11320754716981132
617,03/04/20,West Bengal,3,3,63,0.047619047619047616,0.047619047619047616
648,04/04/20,West Bengal,3,3,69,0.043478260869565216,0.043478260869565216
678,05/04/20,West Bengal,10,3,80,0.0375,0.125
708,06/04/20,West Bengal,10,3,80,0.0375,0.125
739,07/04/20,West Bengal,13,3,91,0.03296703296703297,0.14285714285714285
770,08/04/20,West Bengal,13,5,99,0.050505050505050504,0.13131313131313133
801,09/04/20,West Bengal,16,5,103,0.04854368932038835,0.1553398058252427
832,10/04/20,West Bengal,16,5,116,0.04310344827586207,0.13793103448275862
863,11/04/20,West Bengal,16,5,126,0.03968253968253968,0.12698412698412698
894,12/04/20,West Bengal,19,5,134,0.03731343283582089,0.1417910447761194
926,13/04/20,West Bengal,29,7,152,0.046052631578947366,0.19078947368421054
959,14/04/20,West Bengal,36,7,190,0.03684210526315789,0.18947368421052632
992,15/04/20,West Bengal,37,7,213,0.03286384976525822,0.17370892018779344
1025,16/04/20,West Bengal,42,7,231,0.030303030303030304,0.18181818181818182
1058,17/04/20,West Bengal,51,10,255,0.0392156862745098,0.2
1091,18/04/20,West Bengal,55,10,287,0.03484320557491289,0.1916376306620209
1124,19/04/20,West Bengal,62,12,310,0.03870967741935484,0.2
1157,20/04/20,West Bengal,66,12,339,0.035398230088495575,0.19469026548672566
1190,21/04/20,West Bengal,73,12,392,0.030612244897959183,0.18622448979591838
1222,22/04/20,West Bengal,73,15,423,0.03546099290780142,0.17257683215130024
1254,23/04/20,West Bengal,79,15,456,0.03289473684210526,0.17324561403508773
1286,24/04/20,West Bengal,103,15,514,0.029182879377431907,0.20038910505836577
1318,25/04/20,West Bengal,103,18,571,0.03152364273204904,0.18038528896672504
1350,26/04/20,West Bengal,105,18,611,0.029459901800327332,0.1718494271685761
1382,27/04/20,West Bengal,105,20,649,0.030816640986132512,0.1617873651771957
1414,28/04/20,West Bengal,109,20,697,0.028694404591104734,0.1563845050215208
1446,29/04/20,West Bengal,119,22,725,0.030344827586206897,0.16413793103448276
1478,30/04/20,West Bengal,124,22,758,0.029023746701846966,0.16358839050131926
1510,01/05/20,West Bengal,139,33,795,0.04150943396226415,0.17484276729559747
1542,02/05/20,West Bengal,139,33,795,0.04150943396226415,0.17484276729559747
1574,03/05/20,West Bengal,151,33,922,0.03579175704989154,0.16377440347071584
1606,04/05/20,West Bengal,151,35,963,0.036344755970924195,0.15680166147455868
1638,05/05/20,West Bengal,218,133,1259,0.10563939634630659,0.17315329626687848
1671,06/05/20,West Bengal,364,140,1344,0.10416666666666667,0.2708333333333333
1704,07/05/20,West Bengal,364,144,1456,0.0989010989010989,0.25
1737,08/05/20,West Bengal,364,151,1548,0.09754521963824289,0.2351421188630491
1770,09/05/20,West Bengal,364,160,1678,0.09535160905840286,0.2169249106078665
1803,10/05/20,West Bengal,372,171,1786,0.09574468085106383,0.20828667413213886
1836,11/05/20,West Bengal,417,185,1939,0.09541000515729757,0.2150593089221248
1869,12/05/20,West Bengal,499,190,2063,0.09209888511875909,0.24188075618031993
1902,13/05/20,West Bengal,612,198,2173,0.09111826967326277,0.281638288080994
1935,14/05/20,West Bengal,702,207,2290,0.09039301310043668,0.30655021834061136
1968,15/05/20,West Bengal,768,215,2377,0.09045014724442575,0.3230963399242743
2001,16/05/20,West Bengal,829,225,2461,0.0914262494920764,0.3368549370174726
2034,17/05/20,West Bengal,872,232,2576,0.09006211180124224,0.3385093167701863
2067,18/05/20,West Bengal,959,238,2677,0.08890549122151663,0.35823683227493464
2100,19/05/20,West Bengal,1006,244,2825,0.0863716814159292,0.3561061946902655
2133,20/05/20,West Bengal,1074,250,2961,0.08443093549476528,0.36271529888551163
2167,21/05/20,West Bengal,1136,253,3103,0.08153399935546246,0.3660973251691911
2201,22/05/20,West Bengal,1193,259,3197,0.08101345010947764,0.37316233969346263
2235,23/05/20,West Bengal,1221,265,3332,0.07953181272509004,0.3664465786314526
2270,24/05/20,West Bengal,1281,269,3459,0.07776814108123735,0.37033824804856896
2305,25/05/20,West Bengal,1339,272,3667,0.07417507499318243,0.36514862285246796
2341,26/05/20,West Bengal,1414,278,3816,0.07285115303983228,0.37054507337526205
2377,27/05/20,West Bengal,1486,283,4009,0.07059116986779745,0.3706660014966326
2413,28/05/20,West Bengal,1578,289,4192,0.06894083969465649,0.3764312977099237
2449,29/05/20,West Bengal,1668,295,4536,0.0650352733686067,0.36772486772486773
2485,30/05/20,West Bengal,1775,302,4813,0.06274672761271556,0.36879285269062956
2521,31/05/20,West Bengal,1970,309,5130,0.06023391812865497,0.3840155945419103
2557,01/06/20,West Bengal,2157,317,5501,0.057625886202508636,0.39211052535902563
2593,02/06/20,West Bengal,2306,325,5772,0.05630630630630631,0.3995148995148995
2629,03/06/20,West Bengal,2410,335,6168,0.05431258106355383,0.39072632944228275
2665,04/06/20,West Bengal,2580,345,6508,0.05301167793484941,0.39643515673017826
2701,05/06/20,West Bengal,2768,355,6876,0.05162885398487493,0.40255962769051773
