Confirmed,Deaths,Cured,index
1.0,0.0,0.0,0
1.0,0.0,0.0,1
2.0,0.0,0.0,2
3.0,0.0,0.0,3
3.0,0.0,0.0,4
3.0,0.0,0.0,5
3.0,0.0,0.0,6
3.0,0.0,0.0,7
3.0,0.0,0.0,8
3.0,0.0,0.0,9
3.0,0.0,0.0,10
3.0,0.0,0.0,11
3.0,0.0,0.0,12
3.0,0.0,0.0,13
3.0,0.0,0.0,14
3.0,0.0,0.0,15
3.0,0.0,0.0,16
3.0,0.0,0.0,17
3.0,0.0,0.0,18
3.0,0.0,0.0,19
3.0,0.0,0.0,20
3.0,0.0,0.0,21
3.0,0.0,0.0,22
3.0,0.0,0.0,23
3.0,0.0,0.0,24
3.0,0.0,0.0,25
3.0,0.0,0.0,26
3.0,0.0,0.0,27
3.0,0.0,0.0,28
3.0,0.0,0.0,29
3.0,0.0,0.0,30
3.0,0.0,0.0,31
5.0,0.0,0.0,32
6.0,0.0,3.0,33
28.0,0.0,3.0,34
30.0,0.0,3.0,35
31.0,0.0,3.0,36
34.0,0.0,3.0,37
39.0,0.0,3.0,38
46.0,0.0,3.0,39
58.0,0.0,3.0,40
60.0,0.0,3.0,41
74.0,0.0,3.0,42
81.0,1.0,3.0,43
84.0,2.0,10.0,44
110.0,2.0,13.0,45
114.0,2.0,13.0,46
137.0,3.0,14.0,47
151.0,3.0,14.0,48
173.0,4.0,20.0,49
223.0,4.0,23.0,50
283.0,4.0,23.0,51
360.0,7.0,24.0,52
433.0,7.0,24.0,53
519.0,9.0,40.0,54
606.0,10.0,43.0,55
694.0,15.0,45.0,56
724.0,17.0,67.0,57
909.0,19.0,80.0,58
1024.0,27.0,96.0,59
1251.0,31.0,102.0,60
1397.0,35.0,124.0,61
1834.0,41.0,144.0,62
2069.0,53.0,156.0,63
2547.0,62.0,163.0,64
3072.0,75.0,213.0,65
3577.0,83.0,275.0,66
4281.0,111.0,319.0,67
4789.0,124.0,353.0,68
5274.0,149.0,411.0,69
5865.0,169.0,478.0,70
6761.0,206.0,516.0,71
7529.0,242.0,653.0,72
8447.0,273.0,765.0,73
9352.0,324.0,980.0,74
10815.0,353.0,1190.0,75
11933.0,392.0,1344.0,76
12759.0,420.0,1515.0,77
13835.0,452.0,1767.0,78
14792.0,488.0,2015.0,79
16116.0,519.0,2302.0,80
17656.0,559.0,2842.0,81
18985.0,603.0,3260.0,82
20471.0,652.0,3960.0,83
21700.0,686.0,4325.0,84
23452.0,723.0,4814.0,85
24893.0,779.0,5210.0,86
26605.0,826.0,5914.0,87
28160.0,886.0,6362.0,88
29834.0,937.0,7027.0,89
31709.0,1008.0,7797.0,90
33330.0,1075.0,8373.0,91
34972.0,1152.0,9065.0,92
37157.0,1218.0,9951.0,93
40124.0,1306.0,10887.0,94
42836.0,1389.0,11762.0,95
46711.0,1583.0,13161.0,96
49391.0,1694.0,14183.0,97
52952.0,1783.0,15267.0,98
56342.0,1886.0,16540.0,99
59662.0,1981.0,17847.0,100
62939.0,2109.0,19358.0,101
67152.0,2206.0,20917.0,102
70756.0,2293.0,22455.0,103
74281.0,2415.0,24386.0,104
78003.0,2549.0,26235.0,105
81970.0,2649.0,27920.0,106
85710.0,2752.0,30153.0,107
90637.0,2872.0,34109.0,108
95759.0,3029.0,36824.0,109
100325.0,3163.0,39174.0,110
106750.0,3303.0,42298.0,111
112359.0,3435.0,45300.0,112
118447.0,3583.0,48534.0,113
125101.0,3720.0,51784.0,114
131868.0,3867.0,54441.0,115
138845.0,4021.0,57721.0,116
145380.0,4167.0,60491.0,117
151767.0,4337.0,64426.0,118
158333.0,4531.0,67692.0,119
165799.0,4706.0,71106.0,120
173763.0,4971.0,82370.0,121
182143.0,5164.0,86984.0,122
190535.0,5394.0,91819.0,123
198706.0,5598.0,95527.0,124
207615.0,5815.0,100303.0,125
216919.0,6075.0,104107.0,126
226770.0,6348.0,109462.0,127
239616.359375,6769.92138671875,115380.6171875,128
248383.125,7018.7939453125,119685.40625,129
257147.03125,7267.74609375,124000.6484375,130
265910.90625,7516.69970703125,128315.8828125,131
274674.8125,7765.64599609375,132631.125,132
283438.6875,8014.59130859375,136946.34375,133
292202.625,8263.5419921875,141261.5625,134
300966.53125,8512.490234375,145576.8125,135
309730.40625,8761.439453125,149892.046875,136
318494.25,9010.388671875,154207.21875,137
