Date,Cured,Confirmed,Deaths,mortal_rate,cured_rate,confirmation_increase_rate,cured_increase_rate,Kerala_con,Kerala_death,Kerala_rec,Telengana_con,Telengana_death,Telengana_rec,Delhi_con,Delhi_death,Delhi_rec,Rajasthan_con,Rajasthan_death,Rajasthan_rec,Uttar Pradesh_con,Uttar Pradesh_death,Uttar Pradesh_rec,Haryana_con,Haryana_death,Haryana_rec,Ladakh_con,Ladakh_death,Ladakh_rec,Tamil Nadu_con,Tamil Nadu_death,Tamil Nadu_rec,Karnataka_con,Karnataka_death,Karnataka_rec,Maharashtra_con,Maharashtra_death,Maharashtra_rec,Punjab_con,Punjab_death,Punjab_rec,Jammu and Kashmir_con,Jammu and Kashmir_death,Jammu and Kashmir_rec,Andhra Pradesh_con,Andhra Pradesh_death,Andhra Pradesh_rec,Uttarakhand_con,Uttarakhand_death,Uttarakhand_rec,Odisha_con,Odisha_death,Odisha_rec,Puducherry_con,Puducherry_death,Puducherry_rec,West Bengal_con,West Bengal_death,West Bengal_rec,Chhattisgarh_con,Chhattisgarh_death,Chhattisgarh_rec,Chandigarh_con,Chandigarh_death,Chandigarh_rec,Gujarat_con,Gujarat_death,Gujarat_rec,Himachal Pradesh_con,Himachal Pradesh_death,Himachal Pradesh_rec,Madhya Pradesh_con,Madhya Pradesh_death,Madhya Pradesh_rec,Bihar_con,Bihar_death,Bihar_rec,Manipur_con,Manipur_death,Manipur_rec,Mizoram_con,Mizoram_death,Mizoram_rec,Andaman and Nicobar Islands_con,Andaman and Nicobar Islands_death,Andaman and Nicobar Islands_rec,Goa_con,Goa_death,Goa_rec,Unassigned_con,Unassigned_death,Unassigned_rec,Assam_con,Assam_death,Assam_rec,Jharkhand_con,Jharkhand_death,Jharkhand_rec,Arunachal Pradesh_con,Arunachal Pradesh_death,Arunachal Pradesh_rec,Tripura_con,Tripura_death,Tripura_rec,Nagaland_con,Nagaland_death,Nagaland_rec,Meghalaya_con,Meghalaya_death,Meghalaya_rec,Dadar Nagar Haveli_con,Dadar Nagar Haveli_death,Dadar Nagar Haveli_rec,Cases being reassigned to states_con,Cases being reassigned to states_death,Cases being reassigned to states_rec,Sikkim_con,Sikkim_death,Sikkim_rec,active_cases,index
30/01/20,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31/01/20,0,1,0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
01/02/20,0,2,0,0.0,0.0,0.5,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
02/02/20,0,3,0,0.0,0.0,0.33333333333333304,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
03/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
04/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
05/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
06/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
07/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
08/02/20,0,3,0,0.0,0.0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9
